MASTER_DEAL_NO,NINAMES,MASTER_DEAL_DATE,AMENDDATE,AMENDED,PRINCIPALAMOUNT,AVGLIFE,BFO,BPSPREAD,BUSINESSS,COUPON,CALLPRICE,CALLPREMIUM,CALLTYPELONG,CALLYEARS,CUSIP,CURRENCY,CUSIP9,CVTDATE,CVTENDDATE,CVTPRICE,CVTPREMIUM,CVTSHARES,POSTPONED_DATE,WITHDRAWN_DATE2,WITHDRAWN_DATE,DAYSINREGISTRATION,DESCRIPTION,DS_TICKER,EXPECTEDDATE,EXCHANGE,UPTICKER,FILEAMOUNT,FILINGDATE,FINALMATURITY_YYYY,FIRST_COUPON_DATE,FIRSTRADEDATE,FINALMATURITY,FOUNDED,GROSS,GROSSPERCENT,GTRCUSIP,HIGHFILEPRICE,INITDIVDATE,INDUSTRY,INITIAL_COUPON_DATE,IP,IPO,IPO_TO_PRESENT,IPODATE,ISIN,ISSUE_DISCOUNT,ISSUEADVISOR,ISSUEADVISORLONG,LASTSALEDATE,LAUNCH_DATE,LOWFILEPRICE,LISTING_DATE,LISTIPO,LISTMAIN,MATURITY,MATURITY_YYYY,MOODY,MIDFILEPRICE,MGTFEE,MGTFEEPERCENT,MARKET,MTGISSUERTYPE,MORTGAGETYPE,MKTVALUEPF,NATION,calldate,ORIGINATOR,OFFERPRIC,PAYMENTDATE,PERPETUAL,PRICECURRENT,PRIMARYSHARES,PROCEEDSOVERSOLD,RANK1_OVERALLOT_TOTDOLAMTPR,PRICESAMEDAY,PUTDATE,QMATURITY,QUIET_PERIOD,REALLOW,REGISTRATION_STATUS,REGISTRATION_STATUS_LONG,REGRIGHTS,SELLCONC,SELLCONCPERCENT,SECREGF,SECONSHARES,SECURITY,SEDOL_INT,SELL_SHRHLDR_ELIG,SELL_SHRHLDR_ELIG_FLAG_YN,SETTLEMENT_DATE,SHARES,SH_SHAREHOLDERS,SHAREHOLDER_TAKE_UP_PCT,SHAREHOLDER_TAKE_UP_PCT_ALL,SHAREHOLDER_UNDISCLOSED,SHARESFILED,SICDESC,SICP,SIMOFFCUS,SINKEND,SINKPCT,SINKSTART,SINKTOTAL,SP,SPINNINAMES,SPINAFTER,SPINBEFORE,STATE,TICKER,TOTAL,TOTDOLAMT,TOTDOLAMTFILED,TOTGROSSMIL,TOTALSHARESFILED,UNDFEE,UNDFEEPERCENT,UPCUSIP,UPSEDOL,UPSICP,SPINCUSIP,YIELD,YEAR,SPINTICKER,YEARSTOPAR,MAIN_TRANCHE,TRANCHE_ID,PACKAGE_ID,REALLOWPERCENT,ALLOT_CUSIP,HIGHTECH,SIC_PRINT,MAX_COUPON_PAYMENT_DATE,MIN_COUPON_PAYMENT_DATE,MAX_CS_CALLDATE,MIN_CS_CALLDATE,MAX_EVENT_HISTORY_DATE,MIN_EVENT_HISTORY_DATE,MAX_LOCK_DATE,MIN_LOCK_DATE,MAX_LOCKUP_DAYS,MIN_LOCKUP_DAYS,MAX_DAYS_LEFT,MIN_DAYS_LEFT,ASSETTYPE_PRINT,MAX_LOC_DATE
1041492021,easyJet PLC,2000-11-14,2000-05-11,,126.336,,,,Provide airline services,0,,,,,29011L,STG,,,,0,,,,,,,"28,486,957.0 Ord/Common Shs.",EZJ,,London,,,2000-05-11,,,,,12784,,3.0,,5.2871,,Transportation,,29012C,Yes,,,,,,,,2000-05-11,3.7765,2000-11-14,LONDN,LONDN,,,,4.5318,,,U.K. Public,,,,United Kingdom,,,3.100,14936,No,6.017,28486957,145.286,321.306,,,,,,,,,,1.8,,,Ord/Common Shs.,B7KR2P8,Yes,Yes,14936,28486957,,,,No,,"Air transportation, scheduled",4512,,,,,,,,,,,EZJ,63000000,279.399,,4.359,,,,29012C,,6719,,0,,,,N,837970.0,837969.0,,,Primary Business not Hi-Tech,4512,,,,,,,,,,,,,,
1043118021,Bradford & Bingley Bldg Socty,2000-11-28,,,617.019,,,,Investment bank,0.0,,,,,10420Q,STG,,,,0,,,,,,,"175,766,800.0 Ord/Common Shs.",BB.,,,,,2000-11-28,,,,,,,,,,,Credit Inst.,,10420Q,Yes,,,,,,,,2000-11-28,,2000-12-04,LONDN,LONDN,,,,,,,U.K. Public,,,,United Kingdom,,,2.479,14962,No,,,617.019,922.533,,,,,,,,,,,,175766800,Ord/Common Shs.,0222815,No,No,14962,175766800,,,,No,,Personal credit institutions,6141,,,,,,,,,,,,262796761,922.533,,,,,,10420Q,0222815,6141,,0,,,,Y,887108.0,887107.0,,,Primary Business not Hi-Tech,6141,,,,,,,,,,,,,,
1052088105,Osaki Electric Co Ltd,2000-11-02,,,5.917,,,,"Mnfr,whl measuring equip",2.000,,,Non-callable to,4.1,68774Z,Y,,,,,,,,,,,2.000% Bond w/Warrants due '04,,,Tokyo 1,6644,,,,2001-05-22,,,-15858,0.144,1.562,,,,Manufacturing,2001-05-22,68774Z,,,,,,,,,,,,JPOTC,JPOTC,,,NR,,,,Japanese Private,,,,Japan,M,,108.950,14936,No,,,6.446,6.446,,,2004-11-22,,,,,,,,,,Bond w/Warrants,6662006,,,14936,,,,,,,Instruments to measure electricity,3825,,,None,,,,,,,Foreign,6644,,5.917,,0.092,,0.14,1.562,68774Z,6662006,3825,,,2000,,,Y,1014178.0,997708.0,,,Precision/Measuring Test Equip|Process Control Systems,3825/3823/5063/5084/3625/3651 /3613/6531,2022-11-01,2022-05-01,,,2000-11-21,2000-11-02,,,,,,,,
1055486008,Resid Accredit Loans 2000-QS13,2000-11-22,,No,125.106,5.2,,,Mortgage bankers,7.750,,,Clean up Call,,76166K,US,,,,,,,,,,642,7.750% Asset Bkd Certs due '30,,,,GM,6001,1999-02-19,,,,,,Market,,,,,Mortgage Bank,,76110W,,,,,,,,,,,,OTC,OTC,,,NR,,,,U.S. Public,Fin. Service,Non-Mtg. Pass,,United States,,,Market,14943,No,,,124.818,264.604,,,2030-11-25,,,,,,,,,,Asset Bkd Certs,,,,14943,,,,,,,Mortgage bankers and loan correspondents,6162,76166K,,,,,,,,,New York,,,265.611,,,,,,370442,B8GCDS4,3711,,Mark,2000,,,Y,1207071.0,1125354.0,,,Primary Business not Hi-Tech,6162/619B,,,,,2000-11-28,2000-11-28,,,,,,,Rev Cred/Home Eq,
1055970100,Transmile Group Bhd,2000-11-22,,,13.317,,,,Pvd airport terminal svcs,,,,,,89379J,RG,,,,,,,,,,,"21,998,500.0 Ord/Common Shs.",TMIL,,Kuala S/B,TRANMI,,2000-11-22,,,,,,,,,,,Transportation,,89379J,No,,,MYL7000OO002,,,,,2000-11-22,,2000-11-22,KLSB,KLSB,,,,,,,Malaysia Public,,,69.2,Malaysia,,,2.300,14964,,0.119,21998500,13.317,13.317,,,,,,,,,,,,,Ord/Common Shs.,6905477,Yes,Yes,14964,21998500,21998500,100,100,No,,Airports and airport terminal services,4581,,,,,,,,,,Foreign,TRANMI,21998500,13.317,,,,,,89379J,6905477,4581,,0,2000,,,Y,895352.0,895351.0,,,Primary Business not Hi-Tech,4581/4512,,,,,,,,,,,,,,
1058586008,Greenwich Capital 2000-FRB2,2000-11-03,,No,193.112,3.3,,,Special purpose finance sub,Floats,,,Clean up Call,,39691C,US,,,,,,,,,,210,Pass-Thru Certs due '30,,,,,2000,2000-04-07,,,,,,Market,,,,,Mtg Securities,,39690B,,,,,,,,,,,,OTC,OTC,,,NR,,,,U.S. Public,Invest. Bank,Pass-Through,,United States,,,Market,14922,No,,,192.784,318.683,,,2030-11-15,,,,,,,,,,Pass-Thru Certs,,,,14922,,,,,,,Special purpose finance company,619B,39691C,,,,,,,,,Unknown,,,319.226,,,,,,39690B,,619A,,Floa,2000,,,Y,1207199.0,1125476.0,,,Primary Business not Hi-Tech,619B,,,,,2000-12-28,2000-12-28,,,,,,,Residential Mtg,
1058975008,Citibank CC Issuance Trust,2000-11-01,,No,2250,3,,,Special purpose finance sub,Floats,,,Clean up Call,,17314X,US,,,,,,,,,,505,Asset Bkd Certs due '05,,,,C,13064,1999-06-15,,,,,,1.875,0.188,,,,Mtg Securities,,172967,,,,,,,,,,,,OTC,OTC,,,Aaa,,Comb.,Comb.,U.S. Public,Comm. Bank,Non-Mtg. Pass,,United States,,172905,100.000,14921,No,,,2250,2250,,,2005-11-07,,1,,,,1.375,0.1375,,,Asset Bkd Certs,,,,14921,,,,,,,Special purpose finance company,619B,,,,,,,,,,New York,,,2250,,4.219,,Comb.,Comb.,172967,2297907,6021,,Floa,2000,,,Y,1207204.0,1125332.0,0.1,,Primary Business not Hi-Tech,619B,,,,,2000-11-13,2000-11-13,,,,,,,Credit Card Rec,
1059435100,Poly Glass Fibre (M) Bhd,2000-11-07,,,21.053,,,,Manufacture fibre glass,,,,,,73163H,RG,,,,,,,,,,,"79,987,474.0 Ord/Common Shs.",POLY,,Kuala Lump,POLY,,2000-11-07,,,14921,,,,,,,,Manufacturing,,73163H,No,,,MYL8117OO003,63.934,,,,2000-11-07,,2000-11-07,KUALA,KUALA,,,,,,,Malaysia Public,,,21.1,Malaysia,,,1.000,14945,,0.106,79987474,21.053,21.053,0.161,,,,,,,,,,,,Ord/Common Shs.,6694247,Yes,Yes,14945,79987474,79987474,100,100,No,,"Broadwoven fabric mills, manmade fiber and silk",2221,,,,,,,,,,Foreign,POLY,79987474,21.053,,,,,,73163H,6694247,2221,,0,2000,,,Y,896094.0,896093.0,,,Primary Business not Hi-Tech,2221/3229/3296,,,,,2000-11-01,2000-11-01,,,,,,,,
1060808008,Government National Mortgage,2000-11-21,,No,145,6,,,Government sponsored agency,Floats,,,Clean up Call,,383736,US,383739AA7,,,,,,,,,,Gtd Pass Certs due '25,,,,,,,,,,,,Market,,,,,Fedl Credit Agcy,,383736,,,,,,,,,,,,OTC,OTC,,,NR,,,,U.S. Public,Agency,Pass-Through,,United States,,,Market,14944,No,,,145,505.491,,,2025-12-16,,,,,,,,,,Gtd Pass Certs,,,,14944,,,,,,,Federal and federally-sponsored credit agencies,6111,383736,,,,,,,,,D. of Columbia,,,505.491,,,,,,383736,,6111,,Floa,2000,,,N,1207291.0,1125419.0,,,Primary Business not Hi-Tech,6111,,,,,2000-12-12,2000-12-12,,,,,,,GNMA,
1061357100,Polymate Holdings Bhd,2000-11-08,,,7.238,,,,Investment holding company,,,,,,73177E,RG,,,,,,,,,,,"24,998,750.0 Ord/Common Shs.",PMAT,,Kuala Lump,POLYMA,,2000-11-08,,,,,,,,,,,Other Finance,,73177E,No,,,MYL7846OO008,,,,,2000-11-08,,2000-11-08,KUALA,KUALA,,,,,,,Malaysia Public,,,18.8,Malaysia,,,1.100,14948,,,24998750,7.238,7.238,,,,,,,,,,,,,Ord/Common Shs.,6696760,Yes,Yes,14948,24998750,24998750,100,100,No,,"Investors, nec",6799,,,,,,,,,,Foreign,POLYMA,24998750,7.238,,,,,,73177E,6696760,6799,,0,2000,,,Y,898590.0,898589.0,,,Primary Business not Hi-Tech,6799/6719,,,,,,,,,,,,,,
