Initial Pub Offer (Date),IssuerTicker2,IssuerTickerOG,Ticker,Issuer Name,Currency,Country/Region,Initial Pub Offer (Share Price),Initial Pub Offer (Shares Offered),Offer Type,Offer Price,Offer To Date,Pricing Date,Total Debt/Total Assets,Historical Market Cap,Revenues,Size of the Board,% Women on Board,Number of Women on Board,CEO or Equivalent is a Woman,CFO or Equivalent is a Woman,Listing Date,First-Day Closing Price,ID_ISIN,ID_CUSIP,CENTRAL_INDEX_KEY_NUMBER,IPO DATE PLUS 1 M,IPO PRICE AFTER 1M,IPO DATE PLUS 3M,IPO PRICE AFTER 1M,IPO DATE PLUS 6M,IPO PRICE AFTER 6M,IPO DATE PLUS 1 Y,IPO PRICE AFTER 1Y,IPO DATE PLUS 3Y,IPO PRICE AFTER 3Y,IPO DATE PLUS 5Y,IPO PRICE AFTER 5Y,BOARD_SIZE
5/21/2021,DNTL CN Equity,DNTL CN,DNTL CN,dentalcorp Holdings Ltd,CAD,CA,14,5.00E+07,"IPO,Primary Share Offering",14,-44.5,5/20/2021,41.3,1132.1,1127.9,8,25,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,6/21/2021,#NAME?,8/21/2021,#NAME?,11/21/2021,#NAME?,5/21/2022,#NAME?,5/21/2024,#NAME?,5/21/2026,#NAME?,#NAME?
1/30/2015,FIH/U CN Equity,FIH/U CN,FIH/U CN,Fairfax India Holdings Corp,USD,CA,10,5.00E+07,"IPO,Primary Share Offering,Best Efforts,REG S,Rule 144A",10,69.6,11/26/2014,13.7,2158.7,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,2/28/2015,#NAME?,4/30/2015,#NAME?,7/30/2015,#NAME?,1/30/2016,#NAME?,1/30/2018,#NAME?,1/30/2020,#NAME?,#NAME?
11/24/2006,AC/A CN Equity,AC/A CN,AC/A CN,Air Canada,CAD,CA,21,2.50E+07,"IPO,Primary Share Offering,Secondary Share Offering,Best Efforts",21,,11/16/2006,40.6,,16247,13,38.4615,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,12/24/2006,#NAME?,2/24/2007,#NAME?,5/24/2007,#NAME?,11/24/2007,#NAME?,11/24/2009,#NAME?,11/24/2011,#NAME?,#NAME?
11/20/2012,HBC CN Equity,HBC CN,HBC CN,Hudson's Bay Co,CAD,CA,17,2.15E+07,"IPO,Primary Share Offering,Secondary Share Offering",17,,11/19/2012,35.2,1398.6,6192,12,16.6667,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,12/20/2012,#NAME?,2/20/2013,#NAME?,5/20/2013,#NAME?,11/20/2013,#NAME?,11/20/2015,#NAME?,11/20/2017,#NAME?,#NAME?
4/7/2021,MDA CN Equity,MDA CN,MDA CN,MDA Space Ltd,CAD,CA,14,2.86E+07,"IPO,Primary Share Offering",14,102.7142857,4/1/2021,5.2,2464.3,788.5,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,5/7/2021,#NAME?,7/7/2021,#NAME?,10/7/2021,#NAME?,4/7/2022,#NAME?,4/7/2024,#NAME?,4/7/2026,#NAME?,#NAME?
2/11/2021,DHT/U CN Equity,DHT/U CN,DHT/U CN,DRI Healthcare Trust,USD,CA,10,3.65E+07,"IPO,Primary Share Offering",10,-19.8,2/10/2021,32.5,465,187.5,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,3/11/2021,#NAME?,5/11/2021,#NAME?,8/11/2021,#NAME?,2/11/2022,#NAME?,2/11/2024,#NAME?,2/11/2026,#NAME?,#NAME?
10/3/2016,ATZ CN Equity,ATZ CN,ATZ CN,Aritzia Inc,CAD,CA,16,2.50E+07,"IPO,Secondary Share Offering,PE Backed,PE Exit",16,224.125,9/26/2016,41.4,3760.9,1728.3,10,30,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,11/3/2016,#NAME?,1/3/2017,#NAME?,4/3/2017,#NAME?,10/3/2017,#NAME?,10/3/2019,#NAME?,10/3/2021,#NAME?,#NAME?
11/9/2010,WB CN Equity,WB CN,WB CN,Whistler Blackcomb Holdings Inc,CAD,CA,12,2.50E+07,"IPO,Secondary Share Offering,PE Backed,PE Exit",12,,11/1/2010,29.2,705.4,214,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,12/9/2010,#NAME?,2/9/2011,#NAME?,5/9/2011,#NAME?,11/9/2011,#NAME?,11/9/2013,#NAME?,11/9/2015,#NAME?,#NAME?
11/21/2001,1284913D CN Equity,1284913D CN,1284913D CN,Corp Shoppers Drug Mart,CAD,CA,18,3.00E+07,IPO,18,,11/21/2001,13.2,10819.9,10742.1,11,36.3636,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,12/21/2001,#NAME?,2/21/2002,#NAME?,5/21/2002,#NAME?,11/21/2002,#NAME?,11/21/2004,#NAME?,11/21/2006,#NAME?,#NAME?
5/27/2021,SFTC CN Equity,SFTC CN,SFTC CN,Softchoice Corp,CAD,CA,20,1.75E+07,"IPO,Primary Share Offering,Secondary Share Offering,REG S,Rule 144A",20,22.45,5/27/2021,9,696,816.4,8,25,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,6/27/2021,#NAME?,8/27/2021,#NAME?,11/27/2021,#NAME?,5/27/2022,#NAME?,5/27/2024,#NAME?,5/27/2026,#NAME?,#NAME?
