Initial Pub Offer (Date),IssuerTicker2,IssuerTickerOG,Ticker,Issuer Name,Currency,Country/Region,Initial Pub Offer (Share Price),Initial Pub Offer (Shares Offered),Offer Type,Offer Price,Offer To Date,Pricing Date,Total Debt/Total Assets,Historical Market Cap,Revenues,Size of the Board,% Women on Board,Number of Women on Board,CEO or Equivalent is a Woman,CFO or Equivalent is a Woman,Listing Date,First-Day Closing Price,ID_ISIN,ID_CUSIP,CENTRAL_INDEX_KEY_NUMBER,IPO DATE PLUS 1 M,IPO PRICE AFTER 1M,IPO DATE PLUS 3M,IPO PRICE AFTER 1M,IPO DATE PLUS 6M,IPO PRICE AFTER 6M,IPO DATE PLUS 1 Y,IPO PRICE AFTER 1Y,IPO DATE PLUS 3Y,IPO PRICE AFTER 3Y,IPO DATE PLUS 5Y,IPO PRICE AFTER 5Y,BOARD_SIZE
6/16/2017,SUVA/A CN Equity,SUVA/A CN,SUVA/A CN,Starlight US Multi-Family No 1 Value Add Fund,CAD,CA,10,1.83E+06,"IPO,Primary Share Offering,Best Efforts,REG S,Rule 144A",10,,5/3/2017,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,7/16/2017,#NAME?,9/16/2017,#NAME?,12/16/2017,#NAME?,6/16/2018,#NAME?,6/16/2020,#NAME?,6/16/2022,#NAME?,#NAME?
11/17/2005,AUI CN Equity,AUI CN,AUI CN,AltaGas Utility Group Inc,CAD,CA,7.5,2.11E+06,"IPO,Primary Share Offering,Secondary Share Offering",7.5,,11/4/2005,,41.5,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,12/17/2005,#NAME?,2/17/2006,#NAME?,5/17/2006,#NAME?,11/17/2006,#NAME?,11/17/2008,#NAME?,11/17/2010,#NAME?,#NAME?
6/16/2017,SUVA/A CN Equity,SUVA/A CN,SUVA/A CN,Starlight US Multi-Family No 1 Value Add Fund,CAD,CA,10,1.83E+06,"IPO,Primary Share Offering,Best Efforts,REG S,Rule 144A",10,,5/3/2017,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,7/16/2017,#NAME?,9/16/2017,#NAME?,12/16/2017,#NAME?,6/16/2018,#NAME?,6/16/2020,#NAME?,6/16/2022,#NAME?,#NAME?
,SUVA/A CN Equity,SUVA/A CN,,Big Banc Split Corp,,,,,"IPO,Primary Share Offering,Best Efforts",10,28.6,5/20/2020,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1/31/1900,#NAME?,3/31/1900,#NAME?,6/30/1900,#NAME?,12/31/1900,#NAME?,12/31/1902,#NAME?,12/31/1904,#NAME?,#NAME?
12/20/2018,CRDL CN Equity,CRDL CN,CRDL CN,Cardiol Therapeutics Inc,CAD,CA,5,3.00E+06,"IPO,Primary Share Offering,REG S,Rule 144A",5,-67.4,11/12/2018,0.4,139.8,,7,14.2857,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1/20/2019,#NAME?,3/20/2019,#NAME?,6/20/2019,#NAME?,12/20/2019,#NAME?,12/20/2021,#NAME?,12/20/2023,#NAME?,#NAME?
11/24/2021,1915912D CN Equity,1915912D CN,1915912D CN,1246778 BC Ltd,CAD,CA,2.6,6.30E+06,"IPO,Primary Share Offering",2.6,,11/24/2021,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,12/24/2021,#NAME?,2/24/2022,#NAME?,5/24/2022,#NAME?,11/24/2022,#NAME?,11/24/2024,#NAME?,11/24/2026,#NAME?,#NAME?
2/28/2020,SCPOu CN Equity,SCPOu CN,SCPO-U CN,Starlight U.S. Multi-Family No. 1 Core Plus Fund,CAD,CA,10,5.13E+06,"IPO,Primary Share Offering,Best Efforts,Rule 144A",10,,12/19/2019,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,3/28/2020,#NAME?,5/28/2020,#NAME?,8/28/2020,#NAME?,2/28/2021,#NAME?,2/28/2023,#NAME?,2/28/2025,#NAME?,#NAME?
11/24/2021,MNTO CN Equity,MNTO CN,MNTO CN,Minto Metals Corp,CAD,CA,2.6,6.30E+06,"IPO,Primary Share Offering,Best Efforts,Private Placement,QIP",2.6,,9/21/2021,23.7,88.3,117.7,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,12/24/2021,#NAME?,2/24/2022,#NAME?,5/24/2022,#NAME?,11/24/2022,#NAME?,11/24/2024,#NAME?,11/24/2026,#NAME?,#NAME?
N.A.,GTMS CN Equity,GTMS CN,GTMS CN,Greenbrook TMS Inc,CAD,CA,,,"IPO,Primary Share Offering,Best Efforts",2,,9/27/2018,253.9,0.2,73.7,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#NAME?
2/20/2020,1774519D CN Equity,1774519D CN,1774519D CN,CMP 2020 Resource LP,CAD,CA,1000,16700,"IPO,Primary Share Offering,Best Efforts",1000,,12/19/2019,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,3/20/2020,#NAME?,5/20/2020,#NAME?,8/20/2020,#NAME?,2/20/2021,#NAME?,2/20/2023,#NAME?,2/20/2025,#NAME?,#NAME?
10/14/2015,1308247D CN Equity,1308247D CN,1308247D CN,Maple Leaf Short Duration 2015-II Flow-Through LP,CAD,CA,25,668500,"IPO,Primary Share Offering,Best Efforts",25,,8/6/2015,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,11/14/2015,#NAME?,1/14/2016,#NAME?,4/14/2016,#NAME?,10/14/2016,#NAME?,10/14/2018,#NAME?,10/14/2020,#NAME?,#NAME?
10/14/2015,1308247D CN Equity,1308247D CN,1308247D CN,Maple Leaf Short Duration 2015-II Flow-Through LP,CAD,CA,25,668500,"IPO,Primary Share Offering,Best Efforts",25,,8/6/2015,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,11/14/2015,#NAME?,1/14/2016,#NAME?,4/14/2016,#NAME?,10/14/2016,#NAME?,10/14/2018,#NAME?,10/14/2020,#NAME?,#NAME?
3/22/2017,RBPu CN Equity,RBPu CN,RBP-U CN,June 2021 Investment Grade Bond Pool,CAD,CA,10,1.52E+06,"IPO,Primary Share Offering,Best Efforts",10,,2/24/2017,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,4/22/2017,#NAME?,6/22/2017,#NAME?,9/22/2017,#NAME?,3/22/2018,#NAME?,3/22/2020,#NAME?,3/22/2022,#NAME?,#NAME?
2/14/2014,0925666D CN Equity,0925666D CN,0925666D CN,Sprott 2014 Flow-Through LP,CAD,CA,25,688100,"IPO,Primary Share Offering,Best Efforts",25,,12/20/2013,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,3/14/2014,#NAME?,5/14/2014,#NAME?,8/14/2014,#NAME?,2/14/2015,#NAME?,2/14/2017,#NAME?,2/14/2019,#NAME?,#NAME?
2/25/2016,1372925D CN Equity,1372925D CN,1372925D CN,MRF 2016 Resource LP,CAD,CA,25,,"IPO,Primary Share Offering,Best Efforts",25,,12/22/2015,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,3/25/2016,#NAME?,5/25/2016,#NAME?,8/25/2016,#NAME?,2/25/2017,#NAME?,2/25/2019,#NAME?,2/25/2021,#NAME?,#NAME?
5/29/2014,JPWR/H CN Equity,JPWR/H CN,JPWR/H CN,Jade Power Trust,CAD,CA,1,1.10E+07,"IPO,Primary Share Offering",1,N/A,2/7/2014,,1.3,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,6/29/2014,#NAME?,8/29/2014,#NAME?,11/29/2014,#NAME?,5/29/2015,#NAME?,5/29/2017,#NAME?,5/29/2019,#NAME?,#NAME?
7/23/2021,CGGVu CN Equity,CGGVu CN,CGGV-U CN,Canaccord Genuity G Ventures Corp,CAD,CA,3,5.00E+06,"IPO,Primary Share Offering,SPAC,REG S",3,,4/14/2021,,2.6,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,8/23/2021,#NAME?,10/23/2021,#NAME?,1/23/2022,#NAME?,7/23/2022,#NAME?,7/23/2024,#NAME?,7/23/2026,#NAME?,#NAME?
6/16/2017,SUVA/A CN Equity,SUVA/A CN,SUVA/A CN,Starlight US Multi-Family No 1 Value Add Fund,CAD,CA,10,1.83E+06,"IPO,Primary Share Offering,Best Efforts,REG S,Rule 144A",10,,5/3/2017,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,7/16/2017,#NAME?,9/16/2017,#NAME?,12/16/2017,#NAME?,6/16/2018,#NAME?,6/16/2020,#NAME?,6/16/2022,#NAME?,#NAME?
2/24/2021,1860539D CN Equity,1860539D CN,1860539D CN,Optimi Health Corp,CAD,CA,0.75,2.00E+07,"IPO,Primary Share Offering,Best Efforts",0.75,,2/18/2021,12.3,,0.2,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,3/24/2021,#NAME?,5/24/2021,#NAME?,8/24/2021,#NAME?,2/24/2022,#NAME?,2/24/2024,#NAME?,2/24/2026,#NAME?,#NAME?
2/21/2006,CNMu CN Equity,CNMu CN,CNM-U CN,Canadian Income Management Trust,CAD,CA,2.6,5.12E+06,"IPO,Primary Share Offering,Best Efforts",2.6,,1/30/2006,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,3/21/2006,#NAME?,5/21/2006,#NAME?,8/21/2006,#NAME?,2/21/2007,#NAME?,2/21/2009,#NAME?,2/21/2011,#NAME?,#NAME?
4/20/2006,2235289Z CN Equity,2235289Z CN,2235289Z CN,FrontierAlt Energy 2006 Flow-Through LP,CAD,CA,10,1.35E+06,"IPO,Primary Share Offering,Best Efforts",10,,2/16/2006,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,5/20/2006,#NAME?,7/20/2006,#NAME?,10/20/2006,#NAME?,4/20/2007,#NAME?,4/20/2009,#NAME?,4/20/2011,#NAME?,#NAME?
10/18/2016,STUS/A CN Equity,STUS/A CN,STUS/A CN,Starlight US Multi-Family No 5 Core Fund,CAD,CA,10,2.00E+06,"IPO,Primary Share Offering",10,,9/6/2016,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,11/18/2016,#NAME?,1/18/2017,#NAME?,4/18/2017,#NAME?,10/18/2017,#NAME?,10/18/2019,#NAME?,10/18/2021,#NAME?,#NAME?
3/22/2017,RBPu CN Equity,RBPu CN,RBP-U CN,June 2021 Investment Grade Bond Pool,CAD,CA,10,1.52E+06,"IPO,Primary Share Offering,Best Efforts",10,,2/24/2017,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,4/22/2017,#NAME?,6/22/2017,#NAME?,9/22/2017,#NAME?,3/22/2018,#NAME?,3/22/2020,#NAME?,3/22/2022,#NAME?,#NAME?
12/30/2014,1158396D CN Equity,1158396D CN,1158396D CN,REALnorth Opportunities Fund,CAD,CA,1000,12900,"IPO,Primary Share Offering,Best Efforts",1000,,11/17/2014,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1/30/2015,#NAME?,3/30/2015,#NAME?,6/30/2015,#NAME?,12/30/2015,#NAME?,12/30/2017,#NAME?,12/30/2019,#NAME?,#NAME?
10/18/2016,STUS/A CN Equity,STUS/A CN,STUS/A CN,Starlight US Multi-Family No 5 Core Fund,CAD,CA,10,2.00E+06,"IPO,Primary Share Offering",10,,9/6/2016,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,11/18/2016,#NAME?,1/18/2017,#NAME?,4/18/2017,#NAME?,10/18/2017,#NAME?,10/18/2019,#NAME?,10/18/2021,#NAME?,#NAME?
2/27/2019,1690710D CN Equity,1690710D CN,1690710D CN,MRF 2019 Resource LP,CAD,CA,25,600000,"IPO,Primary Share Offering,Best Efforts",25,,2/13/2019,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,3/27/2019,#NAME?,5/27/2019,#NAME?,8/27/2019,#NAME?,2/27/2020,#NAME?,2/27/2022,#NAME?,2/27/2024,#NAME?,#NAME?
 ,1744673D CN Equity,1744673D CN,1744673D CN,Maple Leaf Short Duration 2019 - II Flow-Through LP,CAD,CA,,,"IPO,Primary Share Offering,Best Efforts",25,,8/28/2019,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#NAME?
2/17/2017,1493318D CN Equity,1493318D CN,1493318D CN,Maple Leaf Short Duration 2017 Flow-Through LP,CAD,CA,25,400000,"IPO,Primary Share Offering,Best Efforts",25,,12/16/2016,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,3/17/2017,#NAME?,5/17/2017,#NAME?,8/17/2017,#NAME?,2/17/2018,#NAME?,2/17/2020,#NAME?,2/17/2022,#NAME?,#NAME?
11/7/2005,SCM/H CN Equity,SCM/H CN,SCM/H CN,Sacre-Coeur Minerals Ltd,CAD,CA,1.5,8.80E+06,"IPO,Primary Share Offering,Best Efforts",1.5,,10/26/2005,,3.9,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,12/7/2005,#NAME?,2/7/2006,#NAME?,5/7/2006,#NAME?,11/7/2006,#NAME?,11/7/2008,#NAME?,11/7/2010,#NAME?,#NAME?
3/30/2022,2050162D CN Equity,2050162D CN,2050162D CN,CMP 2022 Resource LP,CAD,CA,1000,14100,"IPO,Primary Share Offering,Best Efforts",1000,,12/13/2021,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,4/30/2022,#NAME?,6/30/2022,#NAME?,9/30/2022,#NAME?,3/30/2023,#NAME?,3/30/2025,#NAME?,3/30/2027,#NAME?,#NAME?
3/2/2022,1976573D CN Equity,1976573D CN,1976573D CN,Source Rock Royalties Ltd,CAD,CA,0.9,1.33E+07,"IPO,Primary Share Offering",0.9,,2/3/2022,,,4.9,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,4/2/2022,#NAME?,6/2/2022,#NAME?,9/2/2022,#NAME?,3/2/2023,#NAME?,3/2/2025,#NAME?,3/2/2027,#NAME?,#NAME?
9/7/2017,PHC CN Equity,PHC CN,PHC CN,Pathway Health Corp,CAD,CA,0.1,6.00E+06,"IPO,Primary Share Offering,Best Efforts",0.5,,11/30/2020,,2.7,7.7,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,10/7/2017,#NAME?,12/7/2017,#NAME?,3/7/2018,#NAME?,9/7/2018,#NAME?,9/7/2020,#NAME?,9/7/2022,#NAME?,#NAME?
6/16/2017,SUVA/A CN Equity,SUVA/A CN,SUVA/A CN,Starlight US Multi-Family No 1 Value Add Fund,CAD,CA,10,1.83E+06,"IPO,Primary Share Offering,Best Efforts,REG S,Rule 144A",10,,5/3/2017,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,7/16/2017,#NAME?,9/16/2017,#NAME?,12/16/2017,#NAME?,6/16/2018,#NAME?,6/16/2020,#NAME?,6/16/2022,#NAME?,#NAME?
12/21/2023,IGBTu CN Equity,IGBTu CN,IGBT-U CN,2028 Investment Grade Bond Trust,CAD,CA,10,1.41E+06,"IPO,Primary Share Offering",10,5.3,12/7/2023,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1/21/2024,#NAME?,3/21/2024,#NAME?,6/21/2024,#NAME?,12/21/2024,#NAME?,12/21/2026,#NAME?,12/21/2028,#NAME?,#NAME?
10/29/2020,KDSX CN Equity,KDSX CN,KDSX CN,Kadestone Capital Corp,CAD,CA,0.8,1.75E+07,"IPO,Primary Share Offering,Best Efforts,REG S,Rule 144A",0.8,0,7/9/2020,39.4,36.9,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,11/29/2020,#NAME?,1/29/2021,#NAME?,4/29/2021,#NAME?,10/29/2021,#NAME?,10/29/2023,#NAME?,10/29/2025,#NAME?,#NAME?
3/20/2024,2447882D CN Equity,2447882D CN,2447882D CN,Tower Development Trust,USD,CA,10,1.02E+06,"IPO,Primary Share Offering",10,,3/12/2024,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,4/20/2024,#NAME?,6/20/2024,#NAME?,9/20/2024,#NAME?,3/20/2025,#NAME?,3/20/2027,#NAME?,3/20/2029,#NAME?,#NAME?
 ,1773346D CN Equity,1773346D CN,1773346D CN,Maple Leaf Short Duration 2020 Flow-Through LP,CAD,CA,,,"IPO,Primary Share Offering,Best Efforts",25,,12/16/2019,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#NAME?
1/6/2021,CBD/U CN Equity,CBD/U CN,CBD/U CN,Hempfusion Wellness Inc,USD,CA,1,7.00E+06,"IPO,Primary Share Offering,Best Efforts,REG S",1,,12/18/2020,1.5,38.8,3.8,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,2/6/2021,#NAME?,4/6/2021,#NAME?,7/6/2021,#NAME?,1/6/2022,#NAME?,1/6/2024,#NAME?,1/6/2026,#NAME?,#NAME?
6/16/2017,SUVA/A CN Equity,SUVA/A CN,SUVA/A CN,Starlight US Multi-Family No 1 Value Add Fund,CAD,CA,10,1.83E+06,"IPO,Primary Share Offering,Best Efforts,REG S,Rule 144A",10,,5/3/2017,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,7/16/2017,#NAME?,9/16/2017,#NAME?,12/16/2017,#NAME?,6/16/2018,#NAME?,6/16/2020,#NAME?,6/16/2022,#NAME?,#NAME?
10/18/2018,1650870D CN Equity,1650870D CN,1650870D CN,Maple Leaf Short Duration 2018-II Flow-Through LP,CAD,CA,25,515600,"IPO,Primary Share Offering,Best Efforts",25,,8/31/2018,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,11/18/2018,#NAME?,1/18/2019,#NAME?,4/18/2019,#NAME?,10/18/2019,#NAME?,10/18/2021,#NAME?,10/18/2023,#NAME?,#NAME?
11/13/2018,VOXR CN Equity,VOXR CN,VOXR CN,Vox Royalty Corp,CAD,CA,0.1,500000,"IPO,Primary Share Offering,Best Efforts,Private Placement,QIP",3,-90.20970266,5/7/2020,,118.9,11,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,12/13/2018,#NAME?,2/13/2019,#NAME?,5/13/2019,#NAME?,11/13/2019,#NAME?,11/13/2021,#NAME?,11/13/2023,#NAME?,#NAME?
2/20/2015,1226065D CN Equity,1226065D CN,1226065D CN,Sprott 2015 Flow-Through LP,CAD,CA,25,454000,"IPO,Primary Share Offering,Best Efforts",25,,12/29/2014,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,3/20/2015,#NAME?,5/20/2015,#NAME?,8/20/2015,#NAME?,2/20/2016,#NAME?,2/20/2018,#NAME?,2/20/2020,#NAME?,#NAME?
3/15/2006,702941Z CN Equity,702941Z CN,702941Z CN,Stonefire Energy Corp,CAD,CA,1000,11000,"IPO,Primary Share Offering,Best Efforts",1000,,3/6/2006,15.6,,1.9,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,4/15/2006,#NAME?,6/15/2006,#NAME?,9/15/2006,#NAME?,3/15/2007,#NAME?,3/15/2009,#NAME?,3/15/2011,#NAME?,#NAME?
8/17/2017,1516786D CN Equity,1516786D CN,1516786D CN,NADG NNN Real Estate Investment Trust,CAD,CA,10,2.37E+06,"IPO,Primary Share Offering,Best Efforts",10,,6/9/2017,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,9/17/2017,#NAME?,11/17/2017,#NAME?,2/17/2018,#NAME?,8/17/2018,#NAME?,8/17/2020,#NAME?,8/17/2022,#NAME?,#NAME?
11/16/2017,1530793D CN Equity,1530793D CN,1530793D CN,Maple Leaf Short Duration 2017-II Flow-Through LP,CAD,CA,25,685200,"IPO,Primary Share Offering,Best Efforts",25,,8/10/2017,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,12/16/2017,#NAME?,2/16/2018,#NAME?,5/16/2018,#NAME?,11/16/2018,#NAME?,11/16/2020,#NAME?,11/16/2022,#NAME?,#NAME?
4/2/2020,NSR CN Equity,NSR CN,NSR CN,Nomad Royalty Co Ltd,CAD,CA,0.9,1.48E+07,"IPO,Primary Share Offering,Best Efforts,Private Placement,QIP",0.9,,4/2/2020,18.2,450.5,27.1,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,5/2/2020,#NAME?,7/2/2020,#NAME?,10/2/2020,#NAME?,4/2/2021,#NAME?,4/2/2023,#NAME?,4/2/2025,#NAME?,#NAME?
2/28/2020,SCPOu CN Equity,SCPOu CN,SCPO-U CN,Starlight U.S. Multi-Family No. 1 Core Plus Fund,CAD,CA,10,5.13E+06,"IPO,Primary Share Offering,Best Efforts,Rule 144A",10,,12/19/2019,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,3/28/2020,#NAME?,5/28/2020,#NAME?,8/28/2020,#NAME?,2/28/2021,#NAME?,2/28/2023,#NAME?,2/28/2025,#NAME?,#NAME?
N.A.,ROMJ CN Equity,ROMJ CN,ROMJ CN,Rubicon Organics Inc,CAD,CA,,,"IPO,Primary Share Offering,Best Efforts,REG S",3.25,,10/3/2018,0.2,18.5,29.7,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#NAME?
3/11/2016,1363834D CN Equity,1363834D CN,1363834D CN,Canoe 2016 Flow-Through LP,CAD,CA,25,239400,"IPO,Primary Share Offering,Best Efforts",25,,12/16/2015,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,4/11/2016,#NAME?,6/11/2016,#NAME?,9/11/2016,#NAME?,3/11/2017,#NAME?,3/11/2019,#NAME?,3/11/2021,#NAME?,#NAME?
8/15/2005,IAS CN Equity,IAS CN,IAS CN,ImaSight Corp,CAD,CA,1,1.15E+07,"IPO,Primary Share Offering,SPAC,Best Efforts",1,,7/28/2005,,1.9,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,9/15/2005,#NAME?,11/15/2005,#NAME?,2/15/2006,#NAME?,8/15/2006,#NAME?,8/15/2008,#NAME?,8/15/2010,#NAME?,#NAME?
11/13/2015,1341980D CN Equity,1341980D CN,1341980D CN,Marquest 2015 Mining Super Flow-Through LP,CAD,CA,10,,IPO,10,,11/13/2015,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,12/13/2015,#NAME?,2/13/2016,#NAME?,5/13/2016,#NAME?,11/13/2016,#NAME?,11/13/2018,#NAME?,11/13/2020,#NAME?,#NAME?
 ,1699652D CN Equity,1699652D CN,1699652D CN,Maple Leaf Short Duration 2019 Flow-Through LP,CAD,CA,,,"IPO,Primary Share Offering,Best Efforts",25,,2/22/2019,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#NAME?
N.A.,1224865D CN Equity,1224865D CN,1224865D CN,Maple Leaf Short Duration 2015 Flow-Through LP,CAD,CA,,,"IPO,Primary Share Offering,Best Efforts",0,, ,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#NAME?
N.A.,1224865D CN Equity,1224865D CN,1224865D CN,Maple Leaf Short Duration 2015 Flow-Through LP,CAD,CA,,,"IPO,Primary Share Offering,Best Efforts",0,, ,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#NAME?
3/2/2006,ESY CN Equity,ESY CN,ESY CN,ESI Entertainment Systems Inc,CAD,CA,3,3.33E+06,"IPO,Primary Share Offering,Best Efforts",3,,3/22/2006,7.7,,2.5,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,4/2/2006,#NAME?,6/2/2006,#NAME?,9/2/2006,#NAME?,3/2/2007,#NAME?,3/2/2009,#NAME?,3/2/2011,#NAME?,#NAME?
10/31/2021,1902784D CN Equity,1902784D CN,1902784D CN,Cleantek Industries Inc/Old,CAD,CA,1.75,6.11E+06,"IPO,Primary Share Offering,Best Efforts",1.75,,7/12/2021,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,11/30/2021,#NAME?,1/31/2022,#NAME?,4/30/2022,#NAME?,10/31/2022,#NAME?,10/31/2024,#NAME?,10/31/2026,#NAME?,#NAME?
9/15/2021,1898448D CN Equity,1898448D CN,1898448D CN,Eddy Smart Home Solutions Inc,CAD,CA,0.6,1.76E+07,"IPO,Primary Share Offering",0.6,,6/24/2021,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,10/15/2021,#NAME?,12/15/2021,#NAME?,3/15/2022,#NAME?,9/15/2022,#NAME?,9/15/2024,#NAME?,9/15/2026,#NAME?,#NAME?
