MASTER_DEAL_NO,NINAMES,MASTER_DEAL_DATE,AMENDDATE,AMENDED,PRINCIPALAMOUNT,AVGLIFE,BFO,BPSPREAD,BUSINESSS,COUPON,CALLPRICE,CALLPREMIUM,CALLTYPELONG,CALLYEARS,CUSIP,CURRENCY,CUSIP9,CVTDATE,CVTENDDATE,CVTPRICE,CVTPREMIUM,CVTSHARES,POSTPONED_DATE,WITHDRAWN_DATE2,WITHDRAWN_DATE,DAYSINREGISTRATION,DESCRIPTION,DS_TICKER,EXPECTEDDATE,EXCHANGE,UPTICKER,FILEAMOUNT,FILINGDATE,FINALMATURITY_YYYY,FIRST_COUPON_DATE,FIRSTRADEDATE,FINALMATURITY,FOUNDED,GROSS,GROSSPERCENT,GTRCUSIP,HIGHFILEPRICE,INITDIVDATE,INDUSTRY,INITIAL_COUPON_DATE,IP,IPO,IPO_TO_PRESENT,IPODATE,ISIN,ISSUE_DISCOUNT,ISSUEADVISOR,ISSUEADVISORLONG,LASTSALEDATE,LAUNCH_DATE,LOWFILEPRICE,LISTING_DATE,LISTIPO,LISTMAIN,MATURITY,MATURITY_YYYY,MOODY,MIDFILEPRICE,MGTFEE,MGTFEEPERCENT,MARKET,MTGISSUERTYPE,MORTGAGETYPE,MKTVALUEPF,NATION,calldate,ORIGINATOR,OFFERPRIC,PAYMENTDATE,PERPETUAL,PRICECURRENT,PRIMARYSHARES,PROCEEDSOVERSOLD,RANK1_OVERALLOT_TOTDOLAMTPR,PRICESAMEDAY,PUTDATE,QMATURITY,QUIET_PERIOD,REALLOW,REGISTRATION_STATUS,REGISTRATION_STATUS_LONG,REGRIGHTS,SELLCONC,SELLCONCPERCENT,SECREGF,SECONSHARES,SECURITY,SEDOL_INT,SELL_SHRHLDR_ELIG,SELL_SHRHLDR_ELIG_FLAG_YN,SETTLEMENT_DATE,SHARES,SH_SHAREHOLDERS,SHAREHOLDER_TAKE_UP_PCT,SHAREHOLDER_TAKE_UP_PCT_ALL,SHAREHOLDER_UNDISCLOSED,SHARESFILED,SICDESC,SICP,SIMOFFCUS,SINKEND,SINKPCT,SINKSTART,SINKTOTAL,SP,SPINNINAMES,SPINAFTER,SPINBEFORE,STATE,TICKER,TOTAL,TOTDOLAMT,TOTDOLAMTFILED,TOTGROSSMIL,TOTALSHARESFILED,UNDFEE,UNDFEEPERCENT,UPCUSIP,UPSEDOL,UPSICP,SPINCUSIP,YIELD,YEAR,SPINTICKER,YEARSTOPAR,MAIN_TRANCHE,TRANCHE_ID,PACKAGE_ID,REALLOWPERCENT,ALLOT_CUSIP,HIGHTECH,SIC_PRINT,MAX_COUPON_PAYMENT_DATE,MIN_COUPON_PAYMENT_DATE,MAX_CS_CALLDATE,MIN_CS_CALLDATE,MAX_EVENT_HISTORY_DATE,MIN_EVENT_HISTORY_DATE,MAX_LOCK_DATE,MIN_LOCK_DATE,MAX_LOCKUP_DAYS,MIN_LOCKUP_DAYS,MAX_DAYS_LEFT,MIN_DAYS_LEFT,ASSETTYPE_PRINT,MAX_LOC_DATE
1079345021,Amelca,2001-03-16,,,13.723,,,,Dairy-processing business,0.0,,,,,02340F,STG,,,,0,,,,,,,"9,600,000.0 Ord/Common Shs.",,,OFEX,AME,,2000-11-13,,,,,,,5.000,,,,Wholesale,,02340F,Yes,,,,,MATRIX,,,2000-11-13,,2001-03-16,OFEX,OFEX,,,,,,,U.K. Public,,,,United Kingdom,,,1.000,15057,No,,9600000,13.723,13.723,,,,,,,,,,,,,Ord/Common Shs.,,Yes,Yes,15057,9600000,,,,No,,"Dairy products, except dried or canned",5143,,,,,,,,,,,AME,9600000,13.723,,0.686,,,,02340F,,5143,,0,,,,Y,902712.0,902711.0,,,Primary Business not Hi-Tech,5143,,,,,2001-03-16,2001-02-14,,,,,,,,
1089002008,First Horizon Mortgage 2001-2,2001-03-26,,No,26,4.8,,,Mortgage Bankers,7.000,,,Clean up Call,,32032K,US,,,,,,,,,,166,7.000% Pass-Thru Certs due '31,,,,,1000,2000-10-11,,,,,,Market,,,,,Mortgage Bank,,32031K,,,,,,,,,,,,OTC,OTC,,,Aaa,,,,U.S. Public,Mtg.Sec.Iss.,Pass-Through,,United States,,32031K,Market,15064,No,,,25.943,171.555,,,2031-03-30,,,,,,,,,,Pass-Thru Certs,,,,15064,,,,,,,Mortgage bankers and loan correspondents,6162,32032K,,,,,,,,,Texas,,,171.612,,,,,,32031K,,6162,,Mark,2001,,,N,1208680.0,1125559.0,,,Primary Business not Hi-Tech,6162/619B,,,,,2001-06-16,2001-06-16,,,,,,,Residential Mtg,
1089113101,Advanced Info Service PCL,2001-03-12,,,273.6,,,,Wired Telecommunications Carriers,5.300,,,Non-callable to,5.1,01083Y,BA,,,,,,,,,,,5.300% Fxd/Straight Bd due '06,,,Thailand,ADVANC,,,,2001-09-23,,,11017,,,,,,Telephone Commun,,01083Y,,,,,,,,,,,,THAI,THAI,,,NR,,,,Thailand Public,,,,Thailand,,,100.000,15057,No,,,273.6,273.6,,,2006-03-23,,,,,,,,,,Fxd/Straight Bd,6412568,,,15057,,,,,,,"Telephone communications, except radiotelephone",4813,,,None,,,,,,,Foreign,ADVANC,,273.6,,,,,,01083Y,6412568,4813,,5.30,2001,,,Y,916735.0,916733.0,,,Telecommunications Equipment,4813/4812/4899/7699/8742,,,,,,,,,,,,,,
1089169008,Impac Secured Assets 2001-2,2001-03-26,,No,70.38,3,,,Special Purpose Finance Co,6.380,,,Clean up Call,,45279K,US,45254TFM1,,,,,,,,,1712,6.380% Asset Bkd Certs due '32,,,,,568.8,1996-07-18,,,,,,Market,,,,,REIT,,45272T,,,,,,,,,,,,OTC,OTC,,,Aaa,,,,U.S. Public,Mtg.Sec.Iss.,Non-Mtg. Pass,,United States,,,Market,15063,No,,,71.872,255.373,,,2032-04-25,,,,,,,,,,Asset Bkd Certs,,,,15063,,,,,,,Real estate investment trusts,6798,45279K,,,,,,,,,California,,,250.071,,,,,,45272T,2884666,2836,,Mark,2001,,,Y,1208698.0,1125699.0,,,Primary Business not Hi-Tech,6798/619B,,,,,2001-03-28,2001-03-28,,,,,,,Rev Cred/Home Eq,
1090801008,Government National Mortgage,2001-03-22,,No,58.65,2.6,,,Government sponsored agency,7.000,,,Clean up Call,,383736,US,383739PQ6,,,,,,,,,,7.000% Pass-Thru Certs due '29,,,,,,,,,,,,Market,,,,,Fedl Credit Agcy,,383736,,,,,,,,,,,,OTC,OTC,,,NR,,,,U.S. Public,Agency,Pass-Through,,United States,,,Market,15064,No,,,58.65,2154.998,,,2029-12-20,,,,,,,,,,Pass-Thru Certs,,,,15064,,,,,,,Federal and federally-sponsored credit agencies,6111,383736,,,,,,,,,D. of Columbia,,,2154.998,,,,,,383736,,6111,,Mark,2001,,,N,1208752.0,1125736.0,,,Primary Business not Hi-Tech,6111,,,,,2001-05-02,2001-05-02,,,,,,,GNMA,
1090949021,MSI Software Technology PLC,2001-03-02,,,0.736,,,,Software,0.0,,,,,55231M,STG,,,,0,,,,,,,"1,666,667.0 Ord/Common Shs.",,,OFEX,,,2001-01-12,,,,,,,,,,,Manufacturing,,58452F,No,,,,,,,,2001-01-12,,2001-03-02,OFEX,OFEX,,,,,,,U.K. Public,,,,United Kingdom,,,0.300,15043,No,,1666667,0.736,0.736,,,,,,,,,,,,,Ord/Common Shs.,,Yes,Yes,15043,1666667,,,,No,,Paper mills,2621,,,,,,,,,,,,1666667,0.736,,,,,,38054V,,7311,,0,,,,Y,917884.0,917883.0,,,Database Software/Programming|Internet Services & Software,2621/7371,,,,,2001-03-02,2001-01-12,,,,,,,,
1157093011,C-Bass CDO,2001-03-05,,,176,5,,,Special purpose finance co,Floats,,,Non-callable to,33.4,12742Q,US,,,,,,,,,,,Collateral Bds due '34,,,,RDN,,,,,,,,,,,,,Other Finance,,22532B,,,,,,,,,,,,NONE,NONE,,,NR,,,,U.S. Private,Fin. Service,Non-Mtg. Pass,,United States,M,,100.000,15040,No,,,176,289,,,2034-02-01,,,,,No,,,,,Collateral Bds,,,,15040,,,,,,,"Functions related to depository banking, nec",6099,,,,,,,,,,New York,,,289,,,,,,750236,2173911,6351,,Floa,2001,,,Y,,1260694.0,,,Primary Business not Hi-Tech,6099/619B,,,,,,,,,,,,,Inv Grade Bonds|High Yield Bonds|Corporate Loans,
1157100011,C-Bass CDO,2001-03-05,,,20,5,,,Special purpose finance co,,,,Non-callable to,33.4,12742Q,US,,,,,,,,,,,Collateral Bds due '34,,,,RDN,,,,,,,,,,,,,Other Finance,,22532B,,,,,,,,,,,,NONE,NONE,,,NR,,,,U.S. Private,Fin. Service,Non-Mtg. Pass,,United States,M,,100.000,15040,No,,,20,289,,,2034-02-01,,,,,No,,,,,Collateral Bds,,,,15040,,,,,,,"Functions related to depository banking, nec",6099,,,,,,,,,,New York,,,289,,,,,,750236,2173911,6351,,,2001,,,N,,1260694.0,,,Primary Business not Hi-Tech,6099/619B,,,,,,,,,,,,,Inv Grade Bonds|High Yield Bonds|Corporate Loans,
1157102011,C-Bass CDO,2001-03-05,,,50,9.3,,,Special purpose finance co,Floats,,,Non-callable to,33.4,12742Q,US,,,,,,,,,,,Collateral Bds due '34,,,,RDN,,,,,,,,,,,,,Other Finance,,22532B,,,,,,,,,,,,NONE,NONE,,,NR,,,,U.S. Private,Fin. Service,Non-Mtg. Pass,,United States,M,,100.000,15040,No,,,50,289,,,2034-02-01,,,,,No,,,,,Collateral Bds,,,,15040,,,,,,,"Functions related to depository banking, nec",6099,,,,,,,,,,New York,,,289,,,,,,750236,2173911,6351,,Floa,2001,,,N,,1260694.0,,,Primary Business not Hi-Tech,6099/619B,,,,,,,,,,,,,Inv Grade Bonds|High Yield Bonds|Corporate Loans,
1157107011,C-Bass CDO,2001-03-05,,,21,9.9,,,Special purpose finance co,Floats,,,Non-callable to,33.4,12742Q,US,,,,,,,,,,,Collateral Bds due '34,,,,RDN,,,,,,,,,,,,,Other Finance,,22532B,,,,,,,,,,,,NONE,NONE,,,NR,,,,U.S. Private,Fin. Service,Non-Mtg. Pass,,United States,M,,100.000,15040,No,,,21,289,,,2034-02-01,,,,,No,,,,,Collateral Bds,,,,15040,,,,,,,"Functions related to depository banking, nec",6099,,,,,,,,,,New York,,,289,,,,,,750236,2173911,6351,,Floa,2001,,,N,,1260694.0,,,Primary Business not Hi-Tech,6099/619B,,,,,,,,,,,,,Inv Grade Bonds|High Yield Bonds|Corporate Loans,
