MASTER_DEAL_NO,NINAMES,MASTER_DEAL_DATE,AMENDDATE,AMENDED,PRINCIPALAMOUNT,AVGLIFE,BFO,BPSPREAD,BUSINESSS,COUPON,CALLPRICE,CALLPREMIUM,CALLTYPELONG,CALLYEARS,CUSIP,CURRENCY,CUSIP9,CVTDATE,CVTENDDATE,CVTPRICE,CVTPREMIUM,CVTSHARES,POSTPONED_DATE,WITHDRAWN_DATE2,WITHDRAWN_DATE,DAYSINREGISTRATION,DESCRIPTION,DS_TICKER,EXPECTEDDATE,EXCHANGE,UPTICKER,FILEAMOUNT,FILINGDATE,FINALMATURITY_YYYY,FIRST_COUPON_DATE,FIRSTRADEDATE,FINALMATURITY,FOUNDED,GROSS,GROSSPERCENT,GTRCUSIP,HIGHFILEPRICE,INITDIVDATE,INDUSTRY,INITIAL_COUPON_DATE,IP,IPO,IPO_TO_PRESENT,IPODATE,ISIN,ISSUE_DISCOUNT,ISSUEADVISOR,ISSUEADVISORLONG,LASTSALEDATE,LAUNCH_DATE,LOWFILEPRICE,LISTING_DATE,LISTIPO,LISTMAIN,MATURITY,MATURITY_YYYY,MOODY,MIDFILEPRICE,MGTFEE,MGTFEEPERCENT,MARKET,MTGISSUERTYPE,MORTGAGETYPE,MKTVALUEPF,NATION,calldate,ORIGINATOR,OFFERPRIC,PAYMENTDATE,PERPETUAL,PRICECURRENT,PRIMARYSHARES,PROCEEDSOVERSOLD,RANK1_OVERALLOT_TOTDOLAMTPR,PRICESAMEDAY,PUTDATE,QMATURITY,QUIET_PERIOD,REALLOW,REGISTRATION_STATUS,REGISTRATION_STATUS_LONG,REGRIGHTS,SELLCONC,SELLCONCPERCENT,SECREGF,SECONSHARES,SECURITY,SEDOL_INT,SELL_SHRHLDR_ELIG,SELL_SHRHLDR_ELIG_FLAG_YN,SETTLEMENT_DATE,SHARES,SH_SHAREHOLDERS,SHAREHOLDER_TAKE_UP_PCT,SHAREHOLDER_TAKE_UP_PCT_ALL,SHAREHOLDER_UNDISCLOSED,SHARESFILED,SICDESC,SICP,SIMOFFCUS,SINKEND,SINKPCT,SINKSTART,SINKTOTAL,SP,SPINNINAMES,SPINAFTER,SPINBEFORE,STATE,TICKER,TOTAL,TOTDOLAMT,TOTDOLAMTFILED,TOTGROSSMIL,TOTALSHARESFILED,UNDFEE,UNDFEEPERCENT,UPCUSIP,UPSEDOL,UPSICP,SPINCUSIP,YIELD,YEAR,SPINTICKER,YEARSTOPAR,MAIN_TRANCHE,TRANCHE_ID,PACKAGE_ID,REALLOWPERCENT,ALLOT_CUSIP,HIGHTECH,SIC_PRINT,MAX_COUPON_PAYMENT_DATE,MIN_COUPON_PAYMENT_DATE,MAX_CS_CALLDATE,MIN_CS_CALLDATE,MAX_EVENT_HISTORY_DATE,MIN_EVENT_HISTORY_DATE,MAX_LOCK_DATE,MIN_LOCK_DATE,MAX_LOCKUP_DAYS,MIN_LOCKUP_DAYS,MAX_DAYS_LEFT,MIN_DAYS_LEFT,ASSETTYPE_PRINT,MAX_LOC_DATE
1000001001,Credit Agricole (New York),2000-04-25,,No,320,,,,Bank,6.820,,,Non-callable to,1,22553R,US,22531AKZ1,,,,,,,,,,6.820% CDs due '01,,,,,,,,,,,,Market,Market,,,,Commercial Bank,,128005,,,,,,,,,,,,OTC,OTC,,,Aa1,,,,U.S. Public,,,,United States,M,,Market,14727,No,,,320,320,,,2001-04-27,,,,,,,,,,CDs,,,,14727,,,,,,,"Commercial banks, nec",6029,,,None,,,,,,,Unknown,,,320,,,,,,128005,,6000,,Mark,2000,,,Y,1478574.0,1377747.0,,,Primary Business not Hi-Tech,6029,,,,,,,,,,,,,,
1000003001,"LaSalle Bank NA,Chicago,IL",2000-04-25,,No,5,,,120,Com bk,7.250,102,2,Non-callable un,4,504785,US,51803MDM2,,,,,,,,,,7.250% Deposit Notes due '12,,,,AARX,,,,,,,,,,,,,Commercial Bank,,00080P,,,,,,,,,,,,OTC,OTC,,,Aa3,,,,U.S. Public,,,,United States,2004-05-12,,100.000,14742,No,,,5,5,,,2012-05-12,,,,,,,,,,Deposit Notes,,,,14742,,,,,,,National commercial banks,6021,504785,,None,,,,,,,Illinois,,,5,,,,,,000937,2295677,6000,,7.25,2000,,5,Y,1478565.0,1377738.0,,,Primary Business not Hi-Tech,6021/6022,,,2005-05-12,2004-05-12,,,,,,,,,,
1000004001,US Bancorp,2000-04-25,,No,500,,,,Commercial Banking,Floats,,,Non-callable to,2.5,902973,US,91159HFP0,,,,,,,,,277,Sr Med Term Nts due '02,USB,,New York,USB,2378,1999-07-23,,,,,-11322,1.160,0.116,,,,Commercial Bank,,902973,,,,US91159HFP01,,,,,,,,OTC,OTC,,,A1,,Comb.,Comb.,U.S. Public,,,,United States,M,,100.000,14731,No,,,500,500,,,2002-11-01,,,,,,,,,,Sr Med Term Nts,2736035,,,14731,,,,,,,National commercial banks,6021,,,None,,,,,,,Minnesota,USB,,500,,0.58,,Comb.,Comb.,902973,2736035,6021,,Floa,2000,,,Y,1478639.0,1377811.0,,,Primary Business not Hi-Tech,6021/6022/6091/6411/6159/6162 /6211/6712,,,,,2000-04-28,2000-04-28,,,,,,,,
1000011081,Negocios y Transacciones Insti,2000-04-24,,,0.147,,,,Investment management svcs,Varies,,,Non-callable to,1,64015G,QZ,,,,,,,,,,,Promissory Nts due '01,,,,,,,,,,,,,Market,,,,Investment Fund,,64015G,,,,,,,,,,,,BVN,BVN,,,NR,,,,Guatemala Public,,,,Guatemala,M,,Market,,No,,,0.147,0.147,,,2001-04-24,,,,,,,,,,Promissory Nts,,,,,,,,,,,"Investment offices, nec",6726,,,None,,,,,,,Foreign,,,0.147,,,,,,64015G,,6726,,Vari,2000,,,Y,1538678.0,1526821.0,,,Primary Business not Hi-Tech,6726/6722/6282/6799,,,,,,,,,,,,,,
1000021001,Fannie Mae,2000-04-24,,No,100,,,195,Pvd loan svcs,8.000,100,,Non-callable un,1,313586,US,31364KMP2,,,,,,,,,,8.000% Medium-Term Nts due '10,FNMA,,New York,FNM,,,,,,,2922,3.000,0.300,,,,Fedl Credit Agcy,,313586,,,,US31364KMP20,,,,,,,,OTC,OTC,,,NR,,Comb.,Comb.,U.S. Public,,,,United States,2001-05-03,,100.000,14733,No,,,100,100,,,2010-05-03,,,,,,2.5,0.25,,,Medium-Term Nts,2333889,,,14733,,,,,,,Federal and federally-sponsored credit agencies,6111,313586,,None,,,,,,,D. of Columbia,FNM,,100,,0.3,,Comb.,Comb.,313586,2333889,6111,,8.00,2000,,1,Y,1478640.0,1377812.0,,,Primary Business not Hi-Tech,6111,,,2001-05-03,2001-05-03,2000-05-05,2000-05-05,,,,,,,,
1000045001,Freddie Mac,2000-04-25,,No,25,,,57,Mtg sec fin co,7.000,100,,Non-callable un,1,313400,US,312902WS4,,,,,,,,,,7.000% Medium-Term Nts due '02,FMCC,,OTC,FNM,,,,,,,,1.250,0.125,,,,Fedl Credit Agcy,,313400,,,,US312902WS42,,,,,,,,OTC,OTC,,,NR,,Comb.,Comb.,U.S. Public,,,,United States,2001-05-17,,100.000,14747,No,,,25,25,,,2002-05-17,,,,,,1,0.1,,,Medium-Term Nts,2334150,,,14747,,,,,,,Federal and federally-sponsored credit agencies,6111,313400,,None,,,,,,,Virginia,FNM,,25,,0.031,,Comb.,Comb.,313400,2334150,6111,,7.00,2000,,1,Y,1478641.0,1377813.0,,,Primary Business not Hi-Tech,6111,,,2001-05-17,2001-05-17,2000-05-10,2000-05-10,,,,,,,,
1000051001,Federal Home Loan Banks,2000-04-25,,No,50,,,,Federal credit agency,7.000,,,Non-callable to,2.8,313388,US,3133MAWN5,,,,,,,,,,7.000% Bonds due '03,,,,,,,,,,,,Market,Market,,,,Fedl Credit Agcy,,313388,,,,,,,,,,,,OTC,OTC,,,NR,,Comp.,Comp.,U.S. Public,,,,United States,M,,Market,14732,No,,,50.005,50.005,,,2003-02-14,,,,,,,,,,Bonds,,,,14732,,,,,,,"Central reserve depository institutions, nec",6019,313388,,None,,,,,,,D. of Columbia,,,50,,,,Comp.,Comp.,313388,,6019,,Mark,2000,,,Y,1478567.0,1377740.0,,,Primary Business not Hi-Tech,6019,,,,,,,,,,,,,,
1000054001,Freddie Mac,2000-04-25,,No,100,,,62,Mtg sec fin co,7.050,100,,Non-callable un,0.5,313400,US,312892WU9,,,,,,,,,,7.050% Medium-Term Nts due '01,FMCC,,OTC,FNM,,,,,,,,1.000,0.100,,,,Fedl Credit Agcy,,313400,,,,,,,,,,,,OTC,OTC,,,NR,,Comb.,Comb.,U.S. Public,,,,United States,2000-11-15,,100.000,14745,No,,,100,100,,,2001-11-15,,,,,,0.75,0.075,,,Medium-Term Nts,2334150,,,14745,,,,,,,Federal and federally-sponsored credit agencies,6111,313400,,None,,,,,,,Virginia,FNM,,100,,0.1,,Comb.,Comb.,313400,2334150,6111,,7.05,2000,,0.5,Y,1478642.0,1377814.0,,,Primary Business not Hi-Tech,6111,,,2000-11-15,2000-11-15,2000-05-23,2000-05-23,,,,,,,,
1000057001,Fannie Mae,2000-04-25,,No,50,,,87,Pvd loan svcs,7.250,100,,Non-callable un,1,313586,US,31364KMU1,,,,,,,,,,7.250% Medium-Term Nts due '03,FNMA,,New York,FNM,,,,,,,2922,1.500,0.150,,,,Fedl Credit Agcy,,313586,,,,US31364KMU15,,,,,,,,OTC,OTC,,,NR,,Comb.,Comb.,U.S. Public,,,,United States,2001-05-02,,100.000,14732,No,,,50,50,,,2003-05-02,,1,,,,1.25,0.125,,,Medium-Term Nts,2333889,,,14732,,,,,,,Federal and federally-sponsored credit agencies,6111,313586,,None,,,,,,,D. of Columbia,FNM,,50,,0.075,,Comb.,Comb.,313586,2333889,6111,,7.25,2000,,1,Y,1478643.0,1377815.0,0.1,,Primary Business not Hi-Tech,6111,,,2001-05-02,2001-05-02,2000-05-11,2000-05-11,,,,,,,,
1000083001,Federal Home Loan Banks,2000-04-25,,No,4,,,,Federal credit agency,6.875,,,Non-callable to,3.9,313388,US,3133MBEB9,,,,,,,,,,6.875% Bonds due '04,,,,,,,,,,,,Market,Market,,,,Fedl Credit Agcy,,313388,,,,,,,,,,,,OTC,OTC,,,NR,,Comp.,Comp.,U.S. Public,,,,United States,M,,Market,14728,No,,,3.972,3.972,,,2004-02-13,,,,,,,,,,Bonds,,,,14728,,,,,,,"Central reserve depository institutions, nec",6019,313388,,None,,,,,,,D. of Columbia,,,4,,,,Comp.,Comp.,313388,,6019,,Mark,2000,,,Y,1478568.0,1377741.0,,,Primary Business not Hi-Tech,6019,,,,,,,,,,,,,,
