MASTER_DEAL_NO,NINAMES,MASTER_DEAL_DATE,AMENDDATE,AMENDED,PRINCIPALAMOUNT,AVGLIFE,BFO,BPSPREAD,BUSINESSS,COUPON,CALLPRICE,CALLPREMIUM,CALLTYPELONG,CALLYEARS,CUSIP,CURRENCY,CUSIP9,CVTDATE,CVTENDDATE,CVTPRICE,CVTPREMIUM,CVTSHARES,POSTPONED_DATE,WITHDRAWN_DATE2,WITHDRAWN_DATE,DAYSINREGISTRATION,DESCRIPTION,DS_TICKER,EXPECTEDDATE,EXCHANGE,UPTICKER,FILEAMOUNT,FILINGDATE,FINALMATURITY_YYYY,FIRST_COUPON_DATE,FIRSTRADEDATE,FINALMATURITY,FOUNDED,GROSS,GROSSPERCENT,GTRCUSIP,HIGHFILEPRICE,INITDIVDATE,INDUSTRY,INITIAL_COUPON_DATE,IP,IPO,IPO_TO_PRESENT,IPODATE,ISIN,ISSUE_DISCOUNT,ISSUEADVISOR,ISSUEADVISORLONG,LASTSALEDATE,LAUNCH_DATE,LOWFILEPRICE,LISTING_DATE,LISTIPO,LISTMAIN,MATURITY,MATURITY_YYYY,MOODY,MIDFILEPRICE,MGTFEE,MGTFEEPERCENT,MARKET,MTGISSUERTYPE,MORTGAGETYPE,MKTVALUEPF,NATION,calldate,ORIGINATOR,OFFERPRIC,PAYMENTDATE,PERPETUAL,PRICECURRENT,PRIMARYSHARES,PROCEEDSOVERSOLD,RANK1_OVERALLOT_TOTDOLAMTPR,PRICESAMEDAY,PUTDATE,QMATURITY,QUIET_PERIOD,REALLOW,REGISTRATION_STATUS,REGISTRATION_STATUS_LONG,REGRIGHTS,SELLCONC,SELLCONCPERCENT,SECREGF,SECONSHARES,SECURITY,SEDOL_INT,SELL_SHRHLDR_ELIG,SELL_SHRHLDR_ELIG_FLAG_YN,SETTLEMENT_DATE,SHARES,SH_SHAREHOLDERS,SHAREHOLDER_TAKE_UP_PCT,SHAREHOLDER_TAKE_UP_PCT_ALL,SHAREHOLDER_UNDISCLOSED,SHARESFILED,SICDESC,SICP,SIMOFFCUS,SINKEND,SINKPCT,SINKSTART,SINKTOTAL,SP,SPINNINAMES,SPINAFTER,SPINBEFORE,STATE,TICKER,TOTAL,TOTDOLAMT,TOTDOLAMTFILED,TOTGROSSMIL,TOTALSHARESFILED,UNDFEE,UNDFEEPERCENT,UPCUSIP,UPSEDOL,UPSICP,SPINCUSIP,YIELD,YEAR,SPINTICKER,YEARSTOPAR,MAIN_TRANCHE,TRANCHE_ID,PACKAGE_ID,REALLOWPERCENT,ALLOT_CUSIP,HIGHTECH,SIC_PRINT,MAX_COUPON_PAYMENT_DATE,MIN_COUPON_PAYMENT_DATE,MAX_CS_CALLDATE,MIN_CS_CALLDATE,MAX_EVENT_HISTORY_DATE,MIN_EVENT_HISTORY_DATE,MAX_LOCK_DATE,MIN_LOCK_DATE,MAX_LOCKUP_DAYS,MIN_LOCKUP_DAYS,MAX_DAYS_LEFT,MIN_DAYS_LEFT,ASSETTYPE_PRINT,MAX_LOC_DATE
1043110021,Capcon Holdings PLC,2001-10-03,,,0.037,,,,"Pvd audit,stocktaking svcs",0,,,,,13892A,STG,,,,0,,,,,,,"33,332.0 Ord/Common Shs.",MTR,,London AIM,CPC,,2001-10-03,,,,,,,,,,,Pers/Bus/Rep Svc,,13892A,No,,,,,,,,2001-10-03,,2001-11-13,AIM,AIM,,,,,,,U.K. Public,,,79.6,United Kingdom,,,0.750,15292,No,0.054,33332,0.037,0.037,,,,,,,,,,,,,Ord/Common Shs.,BMQC069,Yes,Yes,15292,33332,,,,No,,"Accounting, auditing, and bookkeeping services",8721,,,,,,,,,,,CPC,33332,0.037,,,,,,13892A,BMQC069,8721,,0,,,,Y,886808.0,886807.0,,,Primary Business not Hi-Tech,8721,,,,,,,,,,,,,,
1212298009,Principal Financial Group Inc,2001-10-22,2001-10-22,,277.5,,,,Provide financial services,,,,,,74251V,US,74251V102,,,,,,,,,,"15,000,000.0 Ord/Common Shs.",PFG,,New York,PFG,,2001-06-08,,,,,,0.805,4.351,,,,Insurance,,74251V,Yes,,,US74251V1026,,,,,2001-06-08,,2001-10-22,NYSE,NYSE,,,,,0.160,0.865,Euro Public,,,6671.1,United States,,,18.500,15274,,26.01,15000000,319.125,2127.5,,,,,,,,,0.49,2.64859,,,Ord/Common Shs.,2803014,Yes,Yes,15274,15000000,,,,No,,Accidental and health insurance,6321,74251V,,,,,,,,,Iowa,PFG,100000000,1850,,13.886,,0.155,0.838,74251V,2803014,6321,,0,2001,,,N,951574.0,951573.0,,,Primary Business not Hi-Tech,6321/6311/6411/6282/6211/6733,,,,,,,,,,,,,,
1212315009,Senior Housing Ppty Tr,2001-10-03,,,0.839,,,,Real estate investment trust,,,,,,81721M,US,81721M109,,,,,,,,,,"65,000.0 Ord/Common Shs.",DHC,,New York,SNH,,2001-06-20,,,,,13880,0.660,5.116,,,,REIT,,81721M,No,,,US81721M1099,,,,,2001-06-20,,2001-10-03,NYSE,NYSE,,,,,0.130,1.008,Euro Public,,,524.3,United States,,,12.900,15257,,24.13,65000,1.514,173.66,,,,,,,,,0.4,3.10078,,,Ord/Common Shs.,BKRN595,Yes,Yes,15257,65000,,,,No,,Real estate investment trusts,6798,81721M,,,,,,,,,Massachusetts,SNH,13000000,160.154,,0.077,,0.130,1.008,81721M,BKRN595,6798,,0,2001,,,N,945211.0,945210.0,,,Primary Business not Hi-Tech,6798/8051,,,,,,,,,,,,,,
1212322009,Australian Magnesium Corp,2001-10-15,,,4.283,,,,Support Activities For Metal Mining,,,,,,05266R,AU,,,,,,,,,,,"10,372,700.0 Ord/Common Shs.",,,,ANM,,2001-10-15,,,,,,0.021,5.0,,,,Natural Resource,,05308T,No,,,,,,,,2001-10-15,,2001-10-15,AUSLA,AUSLA,,,,,Comb.,Comb.,Euro Public,,,368.4,Australia,,,0.800,15301,,,10372700,4.283,322.583,,,,,,,,,,,,,Ord/Common Shs.,,Yes,Yes,15301,10372700,,,,No,,Metal mining services,1081,05266R,,,,,,,,,Foreign,,781300000,322.583,,0.214,,Comb.,Comb.,05308T,B6S2SR2,1099,,0.0,2001,,,N,938345.0,938344.0,,,Primary Business not Hi-Tech,1081,,,,,,,,,,,,,,
1212767009,KT&G(South Korea),2001-10-24,,,309.174,,,,Mnfr cigarettes,,,,,,50063N,US,50064G102,,,,,,,,,,"45,400,000.0 Global Dep Shs",KTG,,Korea,033780,,2001-10-24,,,,,9952,0.136,2.000,,,,Manufacturing,,50063N,Yes,,,US50064G1022,,,,,2001-10-24,,2001-10-24,LUXBG,LUXBG,,,,,Comb.,Comb.,Euro Public,,,1300.7,South Korea,,,6.810,15279,,,,309.174,309.174,,,,,,,,,,,,45400000,Global Dep Shs,6175076,Yes,Yes,15279,45400000,,,,No,,Cigarettes,2111,50063N,,,,,,Republic Of Korea,,,Foreign,033780,45400000,309.174,,6.183,,Comb.,Comb.,50063N,6175076,2111,50064F,0,2001,,,Y,530330.0,530329.0,,,Primary Business not Hi-Tech,2111,,,,,2001-10-31,2001-10-24,,,,,,,,
1213727100,WorldMetal.com Ltd,2001-10-23,,,6.184,,,,Pvd online metal exchange svcs,,,,,,98166Y,HK,,,,,,,,,,,"201,000,000.0 Ord/Common Shs.",WMHL,,Hong Kong,24,,2001-01-18,,,,,,0.001,4.000,,,,Pers/Bus/Rep Svc,,94978X,Yes,,,,,,,,2001-01-18,,2001-10-23,HKGEM,HKGEM,,,,,Comb.,Comb.,Hong Kong Public,,,,Hong Kong,,,0.240,15271,,0.038,130000000,6.184,6.184,,,,,,,,,,,,71000000,Ord/Common Shs.,BNDM5K8,Yes,Yes,15271,201000000,,,,No,,Information retrieval services,7375,,,,,,,,,,Foreign,1371,201000000,6.184,,0.247,,Comb.,Comb.,94978X,6155948,5052,,0,2001,,,Y,915536.0,915535.0,,,Internet Services & Software,7375/6231,,,,,2001-10-26,2001-10-24,,,,,,,,
1214154095,Negri Bossi SpA,2001-10-31,,,21.884,,,,"Mnfr,whl plastic moulding mach",,,,,,64014R,EUR,,,,,,,,,,,"8,533,807.0 Ord/Common Shs.",NGB,,,,,2001-10-30,,,,,-4384,,,,3.06816,,Manufacturing,,64014R,Yes,,,,,,,,2001-10-30,2.7072,2001-11-06,MSTAR,MSTAR,,,,2.88768,,,Italy Public,,,,Italy,,,2.850,15285,,,5025037,22.181,28.743,,,,,,,,,,,,3508770,Ord/Common Shs.,7240616,Yes,Yes,15285,8533807,,,,No,,"Special industry machinery, nec",3559,64014R,,,,,,,,,Foreign,,11058500,28.359,,,,,,64014R,7240616,3559,,0,2001,,,Y,942190.0,942189.0,,,Primary Business not Hi-Tech,3559/5084,,,,,2001-10-31,2001-09-30,,,,,,,,
1214866034,Reemtsma Cigarettenfabriken,2001-10-02,,No,,,,,"Produce,whl cigarettes",,,,,,75844Y,,,,,,,,,2002-03-08,2002-03-08,157,Ord/Common Shs.,,Not Avail.,,,,2001-10-02,,,,,,,,,,,Manufacturing,,87231E,Yes,,,,,,,,2001-10-02,,,UNKNO,UNKNO,,,,,,,Withdrawn,,,,Germany,,,,,,,,,,,,,,,,,,,,,,Ord/Common Shs.,,,,,,,,,,,Cigarettes,2111,,,,,,,Tchibo Holding AG,,,Foreign,,,,,,,,,87231E,,2095,87231E,,,,,Y,608927.0,608926.0,,,Primary Business not Hi-Tech,2111/2131/2141/5194,,,,,2002-03-08,2002-03-08,,,,,,,,
1215628008,Residential Accredit 2001-QS14,2001-10-25,,No,275.866,,,,Special purpose finance co,,,,Non-callable to,30.4,76179W,US,,,,,,,,,,171,Pass-Thru Certs due '31,,,,GM,5556.7,2001-05-07,,,,,,Market,,,,,Mortgage Bank,,76112W,,,,,,,,,,,,OTC,OTC,,,NR,,,,U.S. Public,Mtg.Sec.Iss.,Pass-Through,,United States,M,76112W,Market,15278,No,,,275.866,289.197,,,2031-10-25,,,,,,,,,,Pass-Thru Certs,,,,15278,,,,,,,Mortgage bankers and loan correspondents,6162,76179W,,,,,,,,,New York,,,289.33,,,,,,370442,BYP4ZF4,3711,,Mark,2001,,,Y,1213125.0,1126109.0,,,Primary Business not Hi-Tech,6162/619B,,,,,,,,,,,,,Residential Mtg,
1217112100,Roda Panggon Harapan Tbk,2001-10-22,,,1.782,,,,Real estate development firm,,,,,,77482K,RH,,,,,,,,,,,"150,000,000.0 Ord/Common Shs.",RPH,,Jakarta,RODA,,2001-08-20,,,,,,,,,,,Real Estate,,77482K,Yes,,,ID1000075203,,,,,2001-08-20,,2001-10-22,JAK,JAK,,,,,,,Indonesia Public,,,,Indonesia,,,120.000,15270,,0.006,150000000,1.782,1.782,,,,,,,,,,,,,Ord/Common Shs.,6415493,Yes,Yes,15270,150000000,,,,No,,"Land subdividers and developers, except cemeteries",6552,,,,,,,,,,Foreign,RODA,150000000,1.782,,,,,,77482K,6415493,6552,,0,2001,,,Y,954624.0,954623.0,,,Primary Business not Hi-Tech,6552,,,,,2001-10-22,2001-10-22,,,,,,,,
