MASTER_DEAL_NO,NINAMES,MASTER_DEAL_DATE,AMENDDATE,AMENDED,PRINCIPALAMOUNT,AVGLIFE,BFO,BPSPREAD,BUSINESSS,COUPON,CALLPRICE,CALLPREMIUM,CALLTYPELONG,CALLYEARS,CUSIP,CURRENCY,CUSIP9,CVTDATE,CVTENDDATE,CVTPRICE,CVTPREMIUM,CVTSHARES,POSTPONED_DATE,WITHDRAWN_DATE2,WITHDRAWN_DATE,DAYSINREGISTRATION,DESCRIPTION,DS_TICKER,EXPECTEDDATE,EXCHANGE,UPTICKER,FILEAMOUNT,FILINGDATE,FINALMATURITY_YYYY,FIRST_COUPON_DATE,FIRSTRADEDATE,FINALMATURITY,FOUNDED,GROSS,GROSSPERCENT,GTRCUSIP,HIGHFILEPRICE,INITDIVDATE,INDUSTRY,INITIAL_COUPON_DATE,IP,IPO,IPO_TO_PRESENT,IPODATE,ISIN,ISSUE_DISCOUNT,ISSUEADVISOR,ISSUEADVISORLONG,LASTSALEDATE,LAUNCH_DATE,LOWFILEPRICE,LISTING_DATE,LISTIPO,LISTMAIN,MATURITY,MATURITY_YYYY,MOODY,MIDFILEPRICE,MGTFEE,MGTFEEPERCENT,MARKET,MTGISSUERTYPE,MORTGAGETYPE,MKTVALUEPF,NATION,calldate,ORIGINATOR,OFFERPRIC,PAYMENTDATE,PERPETUAL,PRICECURRENT,PRIMARYSHARES,PROCEEDSOVERSOLD,RANK1_OVERALLOT_TOTDOLAMTPR,PRICESAMEDAY,PUTDATE,QMATURITY,QUIET_PERIOD,REALLOW,REGISTRATION_STATUS,REGISTRATION_STATUS_LONG,REGRIGHTS,SELLCONC,SELLCONCPERCENT,SECREGF,SECONSHARES,SECURITY,SEDOL_INT,SELL_SHRHLDR_ELIG,SELL_SHRHLDR_ELIG_FLAG_YN,SETTLEMENT_DATE,SHARES,SH_SHAREHOLDERS,SHAREHOLDER_TAKE_UP_PCT,SHAREHOLDER_TAKE_UP_PCT_ALL,SHAREHOLDER_UNDISCLOSED,SHARESFILED,SICDESC,SICP,SIMOFFCUS,SINKEND,SINKPCT,SINKSTART,SINKTOTAL,SP,SPINNINAMES,SPINAFTER,SPINBEFORE,STATE,TICKER,TOTAL,TOTDOLAMT,TOTDOLAMTFILED,TOTGROSSMIL,TOTALSHARESFILED,UNDFEE,UNDFEEPERCENT,UPCUSIP,UPSEDOL,UPSICP,SPINCUSIP,YIELD,YEAR,SPINTICKER,YEARSTOPAR,MAIN_TRANCHE,TRANCHE_ID,PACKAGE_ID,REALLOWPERCENT,ALLOT_CUSIP,HIGHTECH,SIC_PRINT,MAX_COUPON_PAYMENT_DATE,MIN_COUPON_PAYMENT_DATE,MAX_CS_CALLDATE,MIN_CS_CALLDATE,MAX_EVENT_HISTORY_DATE,MIN_EVENT_HISTORY_DATE,MAX_LOCK_DATE,MIN_LOCK_DATE,MAX_LOCKUP_DAYS,MIN_LOCKUP_DAYS,MAX_DAYS_LEFT,MIN_DAYS_LEFT,ASSETTYPE_PRINT,MAX_LOC_DATE
1012926095,NEG Micon A/S,2000-08-31,,,32.558,,,,Mnfr wind turbines,,,,,,64009N,DKR,,,,,,,,,,,"850,000.0 Ord/Common Shs.",NEG,,Copenhagen,NEG,,2000-08-31,,,,,,,,,,,Manufacturing,,64009N,No,,,DK0010253681,,,,,2000-08-31,,2000-08-31,COPEN,COPEN,,,,,,,Denmark Public,,,870.6,Denmark,,,320.000,14856,,,,32.558,32.558,,,,,,,,,,,,850000,Ord/Common Shs.,5705593,No,No,14856,850000,,,,No,,Turbines and turbine generator sets,3511,,,,,,,,,,Foreign,NEG,850000,32.559,,,,,,64009N,5705593,3511,,0,2000,,,Y,844071.0,844070.0,,,Primary Business not Hi-Tech,3511,,,,,,,,,,,,,,
1020072101,Singa Secured Assets Ltd,2000-08-01,,,28.895,,,,Special purpose finance co,2.920,,,Non-callable to,5.1,82955R,SG,,,,,,,,,,,2.920% Fxd/Straight Bd due '05,,,,,,,,2001-08-18,,,,,,,,,Mtg Securities,,08518R,,,,,,,,,,,,NONE,NONE,,,NR,,,,Singapore Private,,,,Singapore,,,100.000,14840,No,,,28.895,28.895,,,2005-08-18,,,,,,,,,,Fxd/Straight Bd,,,,14840,,,,,,,Special purpose finance company,619B,82955R,,None,,,,,,,Foreign,,,28.895,,,,,,08518R,0540528,6733,,2.92,2000,,,Y,835979.0,835978.0,,,Primary Business not Hi-Tech,619B/6732,,,,,,,,,,,,,,
1024945008,Residential Accredit 2000-QS9,2000-08-24,,No,92.256,4.7,,,Mortgage bankers,7.750,,,Clean up Call,,76160V,US,,,,,,,,,,552,7.750% Asset Bkd Certs due '30,,,,GM,6001,1999-02-19,,,,,,Market,,,,,Mortgage Bank,,76110W,,,,,,,,,,,,OTC,OTC,,,NR,,,,U.S. Public,Fin. Service,Non-Mtg. Pass,,United States,,,Market,14852,No,,,91.739,265.128,,,2030-08-25,,,,,,,,,,Asset Bkd Certs,,,,14852,,,,,,,Mortgage bankers and loan correspondents,6162,76160V,,,,,,,,,New York,,,266.621,,,,,,370442,B8GCDS4,3711,,Mark,2000,,,Y,1205797.0,1125140.0,,,Primary Business not Hi-Tech,6162/619B,,,,,2000-08-29,2000-08-29,,,,,,,Rev Cred/Home Eq,
1029288101,Singa Secured Assets Ltd,2000-08-01,,,57.212,,,,Special purpose finance co,2.825,,,Non-callable to,5.1,82955R,SG,,,,,,,,,,,2.825% Fxd/Straight Bd due '05,,,,,,,,2001-08-02,,,,,,,,,Mtg Securities,,08518R,,,,,,,,,,,,NONE,NONE,,,NR,,,,Singapore Private,,,,Singapore,,,100.000,14824,No,,,57.212,57.212,,,2005-08-02,,,,,,,,,,Fxd/Straight Bd,,,,14824,,,,,,,Special purpose finance company,619B,82955R,,None,,,,,,,Foreign,,,57.212,,,,,,08518R,0540528,6733,,2.82,2000,,,Y,879275.0,851781.0,,,Primary Business not Hi-Tech,619B/6732,,,,,,,,,,,,,,
1029983001,Federal Home Loan Banks,2000-08-02,,No,8,,,,Federal credit agency,6.750,,,Non-callable to,1.5,313388,US,3133MBY76,,,,,,,,,,6.750% Bonds due '02,,,,,,,,,,,,Market,Market,,,,Fedl Credit Agcy,,313388,,,,US3133MBY764,,,,,,,,OTC,OTC,,,NR,,Comp.,Comp.,U.S. Public,,,,United States,M,,Market,14831,No,,,7.99,7.99,,,2002-02-15,,,,,,,,,,Bonds,,,,14831,,,,,,,"Central reserve depository institutions, nec",6019,313388,,None,,,,,,,D. of Columbia,,,8,,,,Comp.,Comp.,313388,,6019,,Mark,2000,,,Y,1481613.0,1380585.0,,,Primary Business not Hi-Tech,6019,,,,,2000-08-09,2000-08-09,,,,,,,,
1030152106,NEC Corp,2000-08-03,,,922.2,,,,Pvd IT svcs,Zero,100,,Non-callable un,,629050,Y,,2000-09-01,2007-03-29,3207,,311.8,,,,,Zero Cpn Convertible Bds due '07,,,Tokyo 1,6701,,,,,,,,0.189,2.05,,,,Pers/Bus/Rep Svc,,629050,,,,,,,,,,,,TOKYO,TOKYO,,,Baa1,,0.032,0.350,Japanese Public,,,,Japan,2000-09-01,,100.000,14833,No,,,922.2,922.2,,,2007-03-30,,,,,,0.134,1.45,,,Convertible Bds,6640400,,,14833,,,,,,,Computer integrated systems design,7373,,,None,,,,,,,Foreign,6701,,922.2,,18.905,,0.023,0.250,629050,6640400,7373,,,2000,,,Y,1013917.0,997447.0,,,Mainframes & Super Computers|Portable Computers|Micro-Computers(PCs)|Disk Drives|CD Rom Drives|Monitors/Terminals|Printers|Applications Software(Business|Applications Software(Home)|Communication/Network Software|Utilities/File Mgmt Software|Other Software (inq. Games)|Cellular Communications|Satellite Communications|Microwave Communications|Semiconductors|Other Electronics|Primary Business not Hi-Tech,7373/7372/3571/3572/3575/3577 /3663/3669/3674/3651/5045/5063 /5065,,,2000-09-01,2000-09-01,2000-08-10,2000-07-26,,,,,,,,
1031304100,LB Aluminium Bhd,2000-08-10,,,2.836,,,,Manufacture aluminum product,,,,,,50178F,RG,,,,,,,,,,,"32,650,333.0 Ord/Common Shs.",LBAL,,Kuala Lump,LBALUM,,2000-08-10,,,,,9132,,,,,,Manufacturing,,50178F,No,,,MYL9326OO009,,,,,2000-08-10,,2000-08-10,KUALA,KUALA,,,,,,,Malaysia Public,,,11.3,Malaysia,,,0.330,14859,,0.155,,2.836,2.836,,,,,,,,,,,,32650333,Ord/Common Shs.,6500883,Yes,Yes,14859,32650333,32650333,100,100,No,,Aluminum extruded products,3354,,,,,,,,,,Foreign,LBALUM,32650333,2.835,,,,,,50178F,6500883,3354,,0,2000,,,Y,880149.0,880148.0,,,Primary Business not Hi-Tech,3354/3353/3355,,,,,,,,,,,,,,
1031319101,Singa Secured Assets Ltd,2000-08-01,,,43.227,,,,Special purpose finance co,2.825,,,Non-callable to,5.1,82955R,SG,,,,,,,,,,,2.825% Fxd/Straight Bd due '05,,,,,,,,2001-08-23,,,,,,,,,Mtg Securities,,08518R,,,,,,,,,,,,NONE,NONE,,,NR,,,,Singapore Private,,,,Singapore,,,100.000,14845,No,,,43.227,43.227,,,2005-08-23,,,,,,,,,,Fxd/Straight Bd,,,,14845,,,,,,,Special purpose finance company,619B,82955R,,None,,,,,,,Foreign,,,43.227,,,,,,08518R,0540528,6733,,2.82,2000,,,Y,880264.0,880263.0,,,Primary Business not Hi-Tech,619B/6732,,,,,,,,,,,,,,
1031705008,Government National Mortgage,2000-08-25,,No,151.55,6,,,Government sponsored agency,7.500,,,Clean up Call,,383736,US,3837H4WD3,,,,,,,,,,7.500% Gtd Pass Certs due '28,,,,,,,,,,,,Market,,,,,Fedl Credit Agcy,,383736,,,,,,,,,,,,OTC,OTC,,,NR,,,,U.S. Public,Agency,Pass-Through,,United States,,,Market,14852,No,,,151.55,359.196,,,2028-05-30,,,,,,,,,,Gtd Pass Certs,,,,14852,,,,,,,Federal and federally-sponsored credit agencies,6111,383736,,,,,,,,,D. of Columbia,,,359.196,,,,,,383736,,6111,,Mark,2000,,,Y,1205867.0,1125499.0,,,Primary Business not Hi-Tech,6111,,,,,2001-01-05,2001-01-05,,,,,,,GNMA,
1031737001,Federal Home Loan Banks,2000-08-01,,No,10,,,,Federal credit agency,6.750,,,Non-callable to,1,313388,US,,,,,,,,,,,6.750% Bonds due '01,,,,,,,,,,,,Market,Market,,,,Fedl Credit Agcy,,313388,,,,,,,,,,,,OTC,OTC,,,NR,,Comp.,Comp.,U.S. Public,,,,United States,M,,Market,14829,No,,,10,10,,,2001-08-07,,,,,,,,,,Bonds,,,,14829,,,,,,,"Central reserve depository institutions, nec",6019,313388,,None,,,,,,,D. of Columbia,,,10,,,,Comp.,Comp.,313388,,6019,,Mark,2000,,,Y,1481768.0,1380739.0,,,Primary Business not Hi-Tech,6019,,,,,,,,,,,,,,
