MASTER_DEAL_NO,NINAMES,MASTER_DEAL_DATE,AMENDDATE,AMENDED,PRINCIPALAMOUNT,AVGLIFE,BFO,BPSPREAD,BUSINESSS,COUPON,CALLPRICE,CALLPREMIUM,CALLTYPELONG,CALLYEARS,CUSIP,CURRENCY,CUSIP9,CVTDATE,CVTENDDATE,CVTPRICE,CVTPREMIUM,CVTSHARES,POSTPONED_DATE,WITHDRAWN_DATE2,WITHDRAWN_DATE,DAYSINREGISTRATION,DESCRIPTION,DS_TICKER,EXPECTEDDATE,EXCHANGE,UPTICKER,FILEAMOUNT,FILINGDATE,FINALMATURITY_YYYY,FIRST_COUPON_DATE,FIRSTRADEDATE,FINALMATURITY,FOUNDED,GROSS,GROSSPERCENT,GTRCUSIP,HIGHFILEPRICE,INITDIVDATE,INDUSTRY,INITIAL_COUPON_DATE,IP,IPO,IPO_TO_PRESENT,IPODATE,ISIN,ISSUE_DISCOUNT,ISSUEADVISOR,ISSUEADVISORLONG,LASTSALEDATE,LAUNCH_DATE,LOWFILEPRICE,LISTING_DATE,LISTIPO,LISTMAIN,MATURITY,MATURITY_YYYY,MOODY,MIDFILEPRICE,MGTFEE,MGTFEEPERCENT,MARKET,MTGISSUERTYPE,MORTGAGETYPE,MKTVALUEPF,NATION,calldate,ORIGINATOR,OFFERPRIC,PAYMENTDATE,PERPETUAL,PRICECURRENT,PRIMARYSHARES,PROCEEDSOVERSOLD,RANK1_OVERALLOT_TOTDOLAMTPR,PRICESAMEDAY,PUTDATE,QMATURITY,QUIET_PERIOD,REALLOW,REGISTRATION_STATUS,REGISTRATION_STATUS_LONG,REGRIGHTS,SELLCONC,SELLCONCPERCENT,SECREGF,SECONSHARES,SECURITY,SEDOL_INT,SELL_SHRHLDR_ELIG,SELL_SHRHLDR_ELIG_FLAG_YN,SETTLEMENT_DATE,SHARES,SH_SHAREHOLDERS,SHAREHOLDER_TAKE_UP_PCT,SHAREHOLDER_TAKE_UP_PCT_ALL,SHAREHOLDER_UNDISCLOSED,SHARESFILED,SICDESC,SICP,SIMOFFCUS,SINKEND,SINKPCT,SINKSTART,SINKTOTAL,SP,SPINNINAMES,SPINAFTER,SPINBEFORE,STATE,TICKER,TOTAL,TOTDOLAMT,TOTDOLAMTFILED,TOTGROSSMIL,TOTALSHARESFILED,UNDFEE,UNDFEEPERCENT,UPCUSIP,UPSEDOL,UPSICP,SPINCUSIP,YIELD,YEAR,SPINTICKER,YEARSTOPAR,MAIN_TRANCHE,TRANCHE_ID,PACKAGE_ID,REALLOWPERCENT,ALLOT_CUSIP,HIGHTECH,SIC_PRINT,MAX_COUPON_PAYMENT_DATE,MIN_COUPON_PAYMENT_DATE,MAX_CS_CALLDATE,MIN_CS_CALLDATE,MAX_EVENT_HISTORY_DATE,MIN_EVENT_HISTORY_DATE,MAX_LOCK_DATE,MIN_LOCK_DATE,MAX_LOCKUP_DAYS,MIN_LOCKUP_DAYS,MAX_DAYS_LEFT,MIN_DAYS_LEFT,ASSETTYPE_PRINT,MAX_LOC_DATE
1000371114,Austpac Resources NL,2000-02-28,,,0.155,,,,Mnfr mineral processing tech,,,,,,06142Y,AU,,,,,,,,,,,"6,250,000.0 Ordinary Shares",APGX,,Australia,APG,,1999-09-20,,,,,10227,,,,,,Manufacturing,,06142Y,No,,,AU000000APG8,,,,,1999-09-20,,2000-02-28,AUSLA,AUSLA,,,,,,0,Australia Private,,,7.8,Australia,,,0.040,,,0.034,6250000,0.155,0.989,,,,,,,,,,,,,Ordinary Shares,6061487,Yes,Yes,,6250000,,,,No,,"Mining machinery and equipment, except oil and gas",3532,06142Y,,,,,,,,,Foreign,APG,24250000,0.989,,,,,,06142Y,6061487,3532,,0,2000,,,N,1010070.0,993636.0,,,Primary Business not Hi-Tech,3532/1481/1081/2821/2822/3083 /5084,,,,,,,,,,,,,,
1000373114,Seafood Online.com Ltd,2000-02-03,,,11.142,,,,"Own,op aquaculture farms",,,,,,81175E,AU,,,,,,,,,,,"87,592,500.0 Ordinary Shares",SFOX,,Australia,SFO,11.2,1999-11-19,,,,,,,,,0.12766,,Agriculture,,81175E,Yes,,,AU000000SFO5,,,,,1999-11-19,0.12766,2000-02-03,AUSLA,AUSLA,,,,0.12766,,0.0,Australia Public,,,40.8,Australia,,,0.200,14649,,,87592500,11.142,11.142,,,,,,,,,,,,,Ordinary Shares,,Yes,Yes,14649,87592500,,,,No,87592500,Animal aquaculture,0273,,,,,,,,,,Foreign,SFO,87592500,11.142,,,87592500,,,81175E,,0273,,0.0,2000,,,Y,1010103.0,993667.0,,,Primary Business not Hi-Tech,0273,,,,,1999-12-24,1999-11-19,,,,,,,,
1000531109,Yeo Chun Tank Terminal Corp,2000-02-08,,,8.85,,,,"Own,op bulk terminal",9.000,,,,,98580X,WON,,,,,,,,,,,9.000% Bonds due '01,,,,,,,,,,,,0.001,0.15,,,,Transportation,,98580X,,,,,,,,,,,,KOSDQ,KOSDQ,,,,,,,South Korea Publi,,,,South Korea,,,96.95,,,,,8.58,8.58,,,2001-02-08,,,,,,,,,,Bonds,,,,,,,,,,,"Special warehousing and storage, nec",4226,,,,,,,,,,Foreign,,,8.85,,0.013,,,,98580X,,4226,,54.5,2000,,,Y,836157.0,836156.0,,,Primary Business not Hi-Tech,4226/5172/5171,,,,,,,,,,,,,,
1000536109,Lamy Cosmetics Co Ltd,2000-02-16,,,8.88,,,,"Mnfr perfumes,cosmetics",9.000,,,,,51282N,WON,,,,,,,,,,,9.000% Bonds due '01,,,Seoul,10330,,,,,,,,0.004,0.400,,,,Manufacturing,,51282N,,,,,,,,,,,,KOSDQ,KOSDQ,,,,,,,South Korea Publi,,,,South Korea,,,96.620,,,,,8.58,8.58,,,2001-02-16,,,,,,,,,,Bonds,6501660,,,,,,,,,,"Perfumes, cosmetics, and other toilet preparations",2844,,,,,,,,,,Foreign,10330,,8.88,,0.036,,,,51282N,6501660,2844,,54.5,2000,,,Y,836169.0,836168.0,,,Primary Business not Hi-Tech,2844,,,,,,,,,,,,,,
1000544109,Young Toys Inc,2000-02-29,,,0.616,,,,"Mnfr dolls,stuffed toys",7.000,,,,,98744A,WON,,,,,,,,,,,7.000% Guaranteed Bds due '01,,,KOSDAQ,015050,,,,,,,,0.004,0.5,23372A,,,Wholesale,,98744A,,,,,,,,,,,,KOSDQ,KOSDQ,,,,,,,South Korea Publi,,,,South Korea,,,88.24,,,,,0.544,0.544,,,2001-02-18,,,,,,,,,,Guaranteed Bds,B0N6XV6,,,,,,,,,,"Electronic parts and equipment, nec",5065,,,,,,,,,,Foreign,015050,,0.616,,0.003,,,,98744A,B0N6XV6,5065,,53.5,2000,,,Y,836185.0,836184.0,,,Primary Business not Hi-Tech|Semiconductors,5065/3679/3944,,,,,,,,,,,,,,
1000547109,Daea Construction Co Ltd,2000-02-17,,,17.72,,,,Construction company,9.000,,,,,23398M,WON,,,,,,,,,,,9.000% Bonds due '01,,,,,,,,,,,,0.003,0.3,,,,Construction,,23398M,,,,,,,,,,,,KOSDQ,KOSDQ,,,,,,,South Korea Publi,,,,South Korea,,,95.76,,,,,16.969,16.969,,,2001-02-17,,,,,,,,,,Bonds,,,,,,,,,,,"Residential construction, nec",1522,,,,,,,,,,Foreign,,,17.72,,0.053,,,,23398M,,1522,,54.5,2000,,,Y,836193.0,836192.0,,,Primary Business not Hi-Tech,1522/1541/1542/1611/1622/1623 /1711/1731/1741/1742/1751/1752 /1761/1771/1799/1629/1521,,,,,,,,,,,,,,
1000549109,Samsung Corp,2000-02-28,,,176,,,,"Oil,gas expl,prodn",8.000,,,,,796053,WON,,,,,,,,,,,8.000% Bonds due '03,,,Korea,000830,,,,,,,-8035,0.003,0.3,,,,Pers/Bus/Rep Svc,,796053,,,,,,,,,,,,KOSDQ,KOSDQ,,,,,,,South Korea Publi,,,,South Korea,,,97.08,,,,,170.861,170.861,,,2003-02-28,,,,,,,,,,Bonds,6771601,,,,,,,,,,Engineering services,8711,,,,,,,,,,Foreign,000830,,176,,0.528,,,,796053,6771601,8711,,54.0,2000,,,Y,836197.0,836196.0,,,Primary Business not Hi-Tech,8711/1311/1382/1499/1099/2399 /3599/3499/3699,,,,,,,,,,,,,,
1000550109,Yongsan Tour Bus Terminal Co,2000-02-14,,,3.101,,,,Pvd bus terminal svcs,9.000,,,,,92893C,WON,,,,,,,,,,,9.000% Guaranteed Bds due '02,,,,,,,,,,,5479,0.005,0.6,23404K,,,Transportation,,92893C,,,,,,,,,,,,KOSDQ,KOSDQ,,,,,,,South Korea Publi,,,,South Korea,,,93.38,,,,,2.896,2.896,,,2002-02-14,,,,,,,,,,Guaranteed Bds,,,,,,,,,,,Bus terminal and service facilities,4173,,,,,,,,,,Foreign,,,3.101,,0.019,,,,92893C,,4173,,54.5,2000,,,Y,836199.0,836198.0,,,Primary Business not Hi-Tech,4173/7521/6512/6519/4225,,,,,,,,,,,,,,
1000553109,Oriental Chemical Inds Co Ltd,2000-02-18,,,17.7,,,,Mnfr chemicals,9.000,,,,,68545P,WON,,,,,,,,,,,9.000% Bonds due '03,,,Korea,,,,,,,,,0.0,0.025,,,,Manufacturing,,68545P,,,,,,,,,,,,KOSDQ,KOSDQ,,,,,,,South Korea Publi,,,,South Korea,,,94.94,,,,,16.804,16.804,,,2003-02-18,,,,,,,,,,Bonds,6661304,,,,,,,,,,"Chemicals and chemical preparations, nec",2899,,,,,,,,,,Foreign,,,17.7,,0.004,,,,68545P,6661304,2899,,54.5,2000,,,Y,836205.0,836204.0,,,Primary Business not Hi-Tech,2899/2833/2879/2869/2819,,,,,,,,,,,,,,
1000556109,Ssangyong Cement Industrial Co,2000-02-11,,,26.91,,,,Mnfr cement,9.000,,,,,85227Y,WON,,,,,,,,,,,9.000% Guaranteed Bds due '01,,,Korea,003410,,,,,,,864,0.001,0.100,,,,Manufacturing,,85227Y,,,,,,,,,,,,KOSDQ,KOSDQ,,,,,,,South Korea Publi,,,,South Korea,,,96.720,,,,,26.027,26.027,,,2001-02-12,,,,,,,,,,Guaranteed Bds,6837280,,,,,,,,,,"Cement, hydraulic",3241,,,,,,,,,,Foreign,003410,,26.91,,0.027,,,,85227Y,6837280,3241,,12.5,2000,,,Y,836213.0,836212.0,,,Primary Business not Hi-Tech,3241/3273/3295,,,,,,,,,,,,,,
1000967011,Eurohypo AG(Deutsche Bank AG),2000-02-10,,,147.675,,,-122,"Commercial,investment banks",5.500,,,Non-callable to,4.8,35243V,EUR,32541FAA9,,,,,,,,,,5.500% Bonds due '04,,,Frankfurt,DBKG,,,,,,,,,,,,,Commercial Bank,,251525,,,,,,,,,,,,NONE,NONE,,,Aaa,,,,U.S. Private,,,,Germany,M,,100.730,14658,No,,,148.753,148.753,,,2004-11-03,,,,,No,,,,,Bonds,,,,14658,,,,,,,Banks,6000,,,,,,,,,,Foreign,,,147.675,,,,,,251525,5750355,6000,,5.32,2000,,,Y,,1257239.0,,,Primary Business not Hi-Tech,6000/6211,,,,,,,,,,,,,,
1001174081,Edegel,2000-02-15,,,30,,,,Electric utility company,8.400,,,Non-callable to,7.1,26833V,US,,,,,,,,,,,8.400% Bonds due '07,,,Lima,EN,30,,,,,,-19498,,Market,,,,Electric Service,,3K3176,,,,,,,,,,,,LIMA,LIMA,,,NR,,,,Peru Public,,,,Peru,M,,Market,,No,,,30,30,,,2007-02-15,,,,,,,,,,Bonds,B17N718,,,,,,,,,,Electric services,4911,,,None,,,,,,,Foreign,EDEGEL,,30,,,,,,29265W,7144569,4911,,8.40,2000,,,Y,1537103.0,1525578.0,,,Primary Business not Hi-Tech,4911,,,,,,,,,,,,,,
1001226095,Ioltech SAS,2000-02-03,,,8.547,,,,Mnfr intraocular implants,,,,,,45052A,EUR,,,,,,,,,,,"125,100.0 Ord/Common Shs.",IOL,,Paris,,,2000-01-25,,,,,,,,,,,Manufacturing,,45052A,No,,,FR0000066938,,,,,2000-01-25,,2000-02-03,PARIS,PARIS,,,,,,,France Public,,,75.8,France,,,69.000,14649,,,,9.504,9.504,,,,,,,,,,,,125100,Ord/Common Shs.,5582796,No,No,14649,125100,,,,No,,"Orthopedic, prosthetic, and surgical supplies",3842,,,,,,,,,,Foreign,,139000,8.547,,,,,,45052A,5582796,3842,,0,2000,,,Y,836223.0,836222.0,,,Surgical Instruments/Equipment,3842,,,,,,,,,,,,,,
1001233081,Banco Santander Peru,2000-02-14,,,10,,,,Bank (foreign),7.750,,,Non-callable to,10.2,05975Y,US,,,,,,,,,,,7.750% Lease Bonds due '10,,,Lima,BDSE,30,,,,,,11039,,Market,,,,Commercial Bank,,80281W,,,,,,,,,,,,LIMA,LIMA,,,NR,,,,Peru Public,,,,Peru,M,,Market,,No,,,10,10,,,2010-02-14,,,,,,,,,,Lease Bonds,B288SN8,,,,,,,,,,Banks,6000,,,None,,,,,,,Foreign,BSD2,,10,,,,,,05964O,5705946,6000,,7.75,2000,,,Y,1537105.0,1525580.0,,,Primary Business not Hi-Tech,6000,,,,,,,,,,,,,,
1001316008,SLM Student Loan Trust 2000-1,2000-02-02,,No,71.71,,,,Spec prpse fin co,Floats,,,Clean up Call,,78551N,US,78442GBW5,,,,,,,,,747,Asset Bkd Certs due '16,,,,SLM,12500,1998-01-16,,,,,,3.225,0.3229,,,,Mtg Securities,,863871,,,,,,,,,,,,OTC,OTC,,,A2,,Comb.,Comb.,U.S. Public,Fin. Service,Non-Mtg. Pass,,United States,,,100.000,14655,No,,,71.71,2048.66,,,2016-04-25,,1.4,,,,2.4,0.24,,,Asset Bkd Certs,,,,14655,,,,,,,Special purpose finance company,619B,78551N,,,,,,,,,Unknown,,,2048.66,,0.231,,Comb.,Comb.,78442A,2101967,6141,,Floa,2000,,,N,823863.0,823859.0,0.14,,Primary Business not Hi-Tech,619B,,,,,2000-04-28,2000-04-28,,,,,,,Student Loans,
1001815091,St Anthony Resources Inc,2000-02-10,,,0.193,,B,,Coal mining,,,,,,78730R,C,85228D900,,,,,,,,,,"1,000,000.0 Stock Unit",,,Unknown,,,1999-09-16,,,,,,0.03,10.714,,,,Natural Resource,,78730R,Yes,,,,,,,,1999-09-16,,2000-02-10,UNKNO,UNKNO,,,,,,,Can. Public,,,,Canada,,,0.280,,,,1000000,0.193,0.193,,,,,,,,,,,,,Stock Unit,,Yes,Yes,,1000000,,,,No,,Bituminous coal and lignite surface mining,1221,,,,,,,,,,Foreign,,1000000,0.193,,0.021,,,,78730R,,1221,,,2000,,,Y,1630807.0,1622326.0,,,Primary Business not Hi-Tech,1221,,,,,,,,,,,,,,
1002182001,Federal Farm Cr Banks Funding,2000-02-18,,No,100,,,,Finance subsidiary,Floats,,,Non-callable to,1,313311,US,31331HE60,,,,,,,,,,Bonds due '01,,,,,,,,,,,,0.487,0.049,,,,Fedl Credit Agcy,,31331N,,,,,,,,,,,,OTC,OTC,,,NR,,Comb.,Comb.,U.S. Public,,,,United States,M,,100.000,14670,No,,,100,100,,,2001-03-01,,,,,,,,,,Bonds,,,,14670,,,,,,,Federal and federally-sponsored credit agencies,6111,,,None,,,,,,,New York,,,100,,0.049,,Comb.,Comb.,31331N,,6111,,Floa,2000,,,Y,1478864.0,1378020.0,,,Primary Business not Hi-Tech,6111/6159,,,,,,,,,,,,,,
1002183001,Federal Farm Cr Banks Funding,2000-02-29,,No,17,,,39,Finance subsidiary,6.800,,,Non-callable to,2,313311,US,31331HE94,,,,,,,,,,6.800% Bonds due '02,,,,,,,,,,,,1.600,0.160,,,,Fedl Credit Agcy,,31331N,,,,,,,,,,,,OTC,OTC,,,NR,,Comb.,Comb.,U.S. Public,,,,United States,M,,100.000,14676,No,,,17,17,,,2002-03-07,,,,,,,,,,Bonds,,,,14676,,,,,,,Federal and federally-sponsored credit agencies,6111,313311,,None,,,,,,,New York,,,17,,0.027,,Comb.,Comb.,31331N,,6111,,6.80,2000,,,Y,1478865.0,1378021.0,,,Primary Business not Hi-Tech,6111/6159,,,,,2000-06-09,2000-06-09,,,,,,,,
1002250091,Cymat Corp,2000-02-04,,,1.041,,B,,Manufacture industrial product,,,,,,23256N,C,23256N904,,,,,,,,,,"3,000,000.0 Stock Unit",,,Toronto,CYM,,2000-02-04,,,,,14060,0.035,7.0,,,,Manufacturing,,23256N,No,,,,,,,,2000-02-04,,2000-02-04,TORON,TORON,,,,,,,Can. Public,,,5.1,Canada,,,0.500,,,,3000000,1.041,1.041,,,,,,,,,,,,,Stock Unit,,Yes,Yes,,3000000,,,,No,,Fabricated pipe and pipe fittings,3498,,,,,,,,,,Foreign,CYM,3000000,1.041,,0.073,,,,23256N,,3498,,,2000,,,Y,1626034.0,1617587.0,,,Primary Business not Hi-Tech,3498,,,,,,,,,,,,,,
1002679091,SiGEM Inc,2000-02-17,,,6.203,,B,,Pvd satellite commun svcs,,,,,,82655Q,C,82655Q900,,,,,,,,,,"7,200,000.0 Stock Unit",MKNOF,,Toronto,,,2000-02-17,,,,,,0.1,8.0,,,,Radio/TV/Telecom,,89144Z,No,,,CA82655Q1081,,,,,2000-02-17,,2000-02-17,NONE,NONE,,,,,,,Can. Public,,,,Canada,,,1.250,,,,7200000,6.203,6.203,,,,,,,,,,,,,Stock Unit,2541488,Yes,Yes,,7200000,,,,No,,"Communications services, nec",4899,,,,,,,,,,Foreign,GPS,7200000,6.203,,0.496,,,,89144Z,,6799,,,2000,,,Y,1630585.0,1622106.0,,,Primary Business not Hi-Tech,4899,,,,,,,,,,,,,,
1002863034,CCBN.com Inc,2000-02-03,,No,,,,,Pvd online investment info,,,,,,12677E,,,,,,,,,2000-04-27,2000-04-27,84,Common Shares,,Withdrawn,,,,2000-02-03,,,,,,,,,,,Pers/Bus/Rep Svc,,12677E,Yes,,,,,,,,2000-02-03,,,NASDQ,NASDQ,,,,,,,Withdrawn,,,,United States,,,,,,,,,,,,,,,,,,,,,,Common Shares,,,,,,,,,,,Information retrieval services,7375,,,,,,,,,,Massachusetts,,,,,,,,,12677E,,7375,,,,,,Y,1041383.0,1038698.0,,,Internet Services & Software,7375,,,,,2000-04-27,2000-04-27,,,,,,,,
1002888008,Fannie Mae,2000-02-08,,No,148.665,3.5,,,Pvd loan svcs,Varies,,,Clean up Call,,313586,US,,,,,,,,,,,Gtd Pass Certs due '13,FNMA,,New York,FNM,,,,,,,2922,Market,,,,,Fedl Credit Agcy,,313586,,,,,,,,,,,,OTC,OTC,,,NR,,,,U.S. Public,Agency,Pass-Through,,United States,,,Market,14669,No,,,148.665,438.038,,,2013-01-15,,,,,,,,,,Gtd Pass Certs,2333889,,,14669,,,,,,,Federal and federally-sponsored credit agencies,6111,313586,,,,,,,,,D. of Columbia,FNM,,438.038,,,,,,313586,2333889,6111,,Mark,2000,,,Y,1204853.0,1124953.0,,,Primary Business not Hi-Tech,6111,,,,,2000-06-13,2000-06-13,,,,,,,GNMA,
1003212095,Gebhard & Schuster AG,2000-02-26,,,5.359,,,,Bank (foreign),,,,,,36837P,EUR,,,,,,,,,,,"250,000.0 Ord/Common Shs.",GSK,,Frankfurt,GSK,,2000-02-20,,,,,,,,,21.6634,,Commercial Bank,,36837P,Yes,,,,,,,,2000-02-20,18.7093,2000-02-26,MUNCH,MUNCH,,,,20.18635,,,Germany Public,,,,Germany,,,22.000,14669,,0.053,250000,5.359,5.359,,,,,,,,,,,,,Ord/Common Shs.,5884663,Yes,Yes,14669,250000,,,,No,,Banks,6000,,,,,,,,,,Foreign,GSK,250000,5.359,,,,,,36837P,5884663,6000,,0,2000,,,Y,836656.0,836655.0,,,Primary Business not Hi-Tech,6000,,,,,,,,,,,,,,
1003970108,Funai Electric Co Ltd,2000-02-21,,,591.189,,,,"Mnfr,whl audio,video equipment",,,,,,36076A,Y,,,,,,,,,,,"800,000 Par Val Com Stk",UNAI,,Osaka,6839,,2000-02-04,,,,,578,29.552,3.999,,,,Manufacturing,,36076A,No,,,,,,,,2000-02-04,,2000-02-21,TOKY1,TOKY1,,,,,,,Japan Public,,,9049.6,Japan,,,"82,320.000",14677,,,700000,591.189,812.885,,,,,,,,,,,,100000,Par Val Com Stk,6141550,Yes,Yes,14677,800000,,,,No,,Household audio and video equipment,3651,,,,,,,,,,Foreign,6839,1100000,812.885,,23.642,,,,36076A,6141550,3651,,,2000,,,Y,824754.0,824231.0,,,Lasers(Excluding Medical),3651/3699/3634/5065,,,,,2000-03-09,2000-02-22,,,,,,,,
1004146096,Lafarge SA,2000-02-01,,,1678.299,,,,"Mnfr cement,bldg materials",Zero,,,Non-callable to,1,50586V,EUR,,,,,,,,,,,Zero Cpn Bond w/Warrants due '01,,,Euro Paris,LG,,,,,,,-14641,,,,,,Manufacturing,,50586V,,,,,,,,,,,,PARIS,PARIS,,,Baa1,,,,France Public,,,,France,M,,100.000,14689,No,,,1678.299,1678.299,,,2001-03-20,,,,,,,,,,Bond w/Warrants,4502706,,,14689,,,,,,,"Cement, hydraulic",3241,,,None,,,,,,,Foreign,LG,,1678.299,,,,,,50586V,4502706,3241,,,2000,,,Y,824538.0,824537.0,,,Primary Business not Hi-Tech,3241/3999/2891/3297/3255,,,,,,,,,,,,,,
1004526095,Migatronic A/S,2000-02-02,,,0.026,,,,"Mnfr,whl welding machines",,,,,,59866Z,DKR,,,,,,,,,,,"9,524.0 Ord/Common Shs.",MIG,,OMX Copen,MIGA B,,2000-01-25,,,,,,,,,,,Manufacturing,,59866Z,No,,,DK0010225127,,,,,2000-01-25,,2000-02-02,COPEN,COPEN,,,,,,,Denmark Public,,,2.1,Denmark,,,21.000,14650,,20.595,9524,0.026,0.026,,,,,,,,,,,,,Ord/Common Shs.,5060418,Yes,Yes,14650,9524,,,,No,,Electric and gas welding and soldering equipment,3548,,,,,,,,,,Foreign,MIGA B,9524,0.026,,,,,,59866Z,5060418,3548,,0,2000,,,Y,837756.0,837755.0,,,Primary Business not Hi-Tech,3548/3699/5084,,,,,,,,,,,,,,
1004541081,Corp Financiera Miravalles SA,2000-02-21,,,0.998,,,,Pvd financing services,Serial,,,Non-callable to,2,22000Q,CRC,,,,,,,,,,,20.000% Debt due '02,,,Costa Rica,,,,,,,,,,Market,,,,Credit Inst.,,40000N,,,,,,,,,,,,COSTA,COSTA,,,NR,,,,Costa Rica Public,,,,Costa Rica,M,,Market,,No,,,0.998,0.998,,,2002-02-21,,,,,,,,,,Debt,,,,,,,,,,,Personal credit institutions,6141,,,None,,,,,,,Foreign,,,0.998,,,,,,40000N,,6799,,Seri,2000,,,Y,1537124.0,1525599.0,,,Primary Business not Hi-Tech,6141/6153/6159,,,,,,,,,,,,,,
1004544081,Corp Financiera Miravalles SA,2000-02-28,,,0.996,,,,Pvd financing services,Serial,,,Non-callable to,1.5,22000Q,CRC,,,,,,,,,,,19.500% Debt due '01,,,Costa Rica,,,,,,,,,,Market,,,,Credit Inst.,,40000N,,,,,,,,,,,,COSTA,COSTA,,,NR,,,,Costa Rica Public,,,,Costa Rica,M,,Market,,No,,,0.996,0.996,,,2001-08-28,,,,,,,,,,Debt,,,,,,,,,,,Personal credit institutions,6141,,,None,,,,,,,Foreign,,,0.996,,,,,,40000N,,6799,,Seri,2000,,,Y,1537123.0,1525598.0,,,Primary Business not Hi-Tech,6141/6153/6159,,,,,,,,,,,,,,
1005238061,Tree Island Wire Income Fund,2000-02-01,,,,,B,,Open-end investment fund,,,,,,894921,,89675N916,,,,,,,,,,"2,400,000.0 Stock Unit",TSL,Not Avail.,Toronto,,,2000-02-01,,,,,15656,,,,,,Other Finance,,93698Y,No,,,,,,,,2000-02-01,,,TORON,TORON,,,,,,,Withdrawn,,,,Canada,,,,,,,,1.658,1.61,,,,,,,,,,,,,Stock Unit,BMNDKX2,,,,2400000,,,,,,"Management investment offices, open-end",6722,,,,,,,,,,Foreign,TIL,2400000,,,,,,,75628Q,,5411,,0.0,,,,Y,1631443.0,1622953.0,,,Primary Business not Hi-Tech,6722,,,,,,,,,,,,,,
