MASTER_DEAL_NO,NINAMES,MASTER_DEAL_DATE,AMENDDATE,AMENDED,PRINCIPALAMOUNT,AVGLIFE,BFO,BPSPREAD,BUSINESSS,COUPON,CALLPRICE,CALLPREMIUM,CALLTYPELONG,CALLYEARS,CUSIP,CURRENCY,CUSIP9,CVTDATE,CVTENDDATE,CVTPRICE,CVTPREMIUM,CVTSHARES,POSTPONED_DATE,WITHDRAWN_DATE2,WITHDRAWN_DATE,DAYSINREGISTRATION,DESCRIPTION,DS_TICKER,EXPECTEDDATE,EXCHANGE,UPTICKER,FILEAMOUNT,FILINGDATE,FINALMATURITY_YYYY,FIRST_COUPON_DATE,FIRSTRADEDATE,FINALMATURITY,FOUNDED,GROSS,GROSSPERCENT,GTRCUSIP,HIGHFILEPRICE,INITDIVDATE,INDUSTRY,INITIAL_COUPON_DATE,IP,IPO,IPO_TO_PRESENT,IPODATE,ISIN,ISSUE_DISCOUNT,ISSUEADVISOR,ISSUEADVISORLONG,LASTSALEDATE,LAUNCH_DATE,LOWFILEPRICE,LISTING_DATE,LISTIPO,LISTMAIN,MATURITY,MATURITY_YYYY,MOODY,MIDFILEPRICE,MGTFEE,MGTFEEPERCENT,MARKET,MTGISSUERTYPE,MORTGAGETYPE,MKTVALUEPF,NATION,calldate,ORIGINATOR,OFFERPRIC,PAYMENTDATE,PERPETUAL,PRICECURRENT,PRIMARYSHARES,PROCEEDSOVERSOLD,RANK1_OVERALLOT_TOTDOLAMTPR,PRICESAMEDAY,PUTDATE,QMATURITY,QUIET_PERIOD,REALLOW,REGISTRATION_STATUS,REGISTRATION_STATUS_LONG,REGRIGHTS,SELLCONC,SELLCONCPERCENT,SECREGF,SECONSHARES,SECURITY,SEDOL_INT,SELL_SHRHLDR_ELIG,SELL_SHRHLDR_ELIG_FLAG_YN,SETTLEMENT_DATE,SHARES,SH_SHAREHOLDERS,SHAREHOLDER_TAKE_UP_PCT,SHAREHOLDER_TAKE_UP_PCT_ALL,SHAREHOLDER_UNDISCLOSED,SHARESFILED,SICDESC,SICP,SIMOFFCUS,SINKEND,SINKPCT,SINKSTART,SINKTOTAL,SP,SPINNINAMES,SPINAFTER,SPINBEFORE,STATE,TICKER,TOTAL,TOTDOLAMT,TOTDOLAMTFILED,TOTGROSSMIL,TOTALSHARESFILED,UNDFEE,UNDFEEPERCENT,UPCUSIP,UPSEDOL,UPSICP,SPINCUSIP,YIELD,YEAR,SPINTICKER,YEARSTOPAR,MAIN_TRANCHE,TRANCHE_ID,PACKAGE_ID,REALLOWPERCENT,ALLOT_CUSIP,HIGHTECH,SIC_PRINT,MAX_COUPON_PAYMENT_DATE,MIN_COUPON_PAYMENT_DATE,MAX_CS_CALLDATE,MIN_CS_CALLDATE,MAX_EVENT_HISTORY_DATE,MIN_EVENT_HISTORY_DATE,MAX_LOCK_DATE,MIN_LOCK_DATE,MAX_LOCKUP_DAYS,MIN_LOCKUP_DAYS,MAX_DAYS_LEFT,MIN_DAYS_LEFT,ASSETTYPE_PRINT,MAX_LOC_DATE
1012823105,CHUBU Electric Power Co Inc,2000-09-12,,,233.675,,,,Electric utility company,Floats,,,Non-callable to,10.1,171263,Y,,,,,,,,,,,Bonds due '10,,,Tokyo 1,9502,,,,2001-03-25,,,-3167,0.033,0.355,,,,Electric Service,2001-03-25,171263,,,,,,,,,,,,JPOTC,JPOTC,,,Aa2,,0.004,0.050,Japanese Public,,,,Japan,M,,100.000,14882,No,,,233.675,233.675,,,2010-09-24,,,,,,0.024,0.255,,,Bonds,6195609,,,14882,,,,,,,Electric services,4911,,,None,,,,,,,Foreign,9502,,233.675,,0.83,,0.00,0.050,171263,6195609,4911,,Floa,2000,,,Y,1014000.0,997530.0,,,Primary Business not Hi-Tech|Data Processing Services|Utilities/File Mgmt Software,4911/4939/7374/7372/6531/8748 /6799,2025-09-01,2025-03-01,,,2000-09-12,2000-09-12,,,,,,,,
1016083105,Hokkaido Electric Power Co Inc,2000-09-12,,,186.94,,,-13,Electric utility company,2.000,,,Non-callable to,10.1,43470N,Y,,,,,,,,,,,2.000% Bonds due '10,,,Tokyo 1,9509,,,,2001-03-25,,,-3167,0.033,0.355,,,,Electric Service,2001-03-25,43470N,,,,,,,,,,,,JPOTC,JPOTC,,,NR,,0.004,0.050,Japanese Public,,,,Japan,M,,100.000,14880,No,,,186.94,186.94,,,2010-09-24,,,,,,0.024,0.255,,,Bonds,6431325,,,14880,,,,,,,Electric services,4911,,,None,,,,,,,Foreign,9509,,186.94,,0.664,,0.00,0.050,43470N,6431325,4911,,2.00,2000,,,Y,1014030.0,997560.0,,,Primary Business not Hi-Tech,4911/4931/1731/1623/3825/7349 /8711/1542/7997/7389,2025-09-01,2025-03-01,,,2000-09-12,2000-09-12,,,,,,,,
1018277101,Hanjaya Mandala Sampoerna Tbk,2000-09-29,,,67.8,,,,"Mnfr,whl cigarettes",17.500,,,Non-callable to,7.1,69383V,RH,,,,,,,,,,,17.500% Fxd/Straight Bd due '07,,,Surabaya,HMSP,,,,2001-02-15,,,,,,,,,Manufacturing,,69383V,,,,,,,,,,,,SURAB,SURAB,,,NR,,,,Indonesia Public,,,,Indonesia,,,100.000,14929,No,,,67.8,67.8,,,2007-11-15,,,,,,,,,,Fxd/Straight Bd,6404242,,,14929,,,,,,,Cigarettes,2111,,,None,,,,,,,Foreign,HMSP,,67.8,,,,,,69383V,6404242,2111,,17.5,2000,,,Y,846742.0,846741.0,,,Primary Business not Hi-Tech,2111/5194,,,,,2000-10-21,2000-10-21,,,,,,,,
1027784105,Morinaga Milk Industry Co Ltd,2000-09-13,,,139.965,,,30,"Mnfr,whl milk,dairy prod",2.060,,,Non-callable to,7.1,61763Q,Y,,,,,,,,,,,2.060% Bonds due '07,,,Tokyo 1,2264,,,,2001-03-27,,,-15462,0.037,0.400,,,,Manufacturing,2001-03-27,61763Q,,,,,,,,,,,,JPOTC,JPOTC,,,NR,,0.004,0.050,Japanese Public,,,,Japan,M,,100.000,14880,No,,,139.965,139.965,,,2007-09-27,,,,,,0.028,0.3,,,Bonds,6602648,,,14880,,,,,,,Fluid milk,2026,,,None,,,,,,,Foreign,2264,,139.965,,0.56,,0.00,0.050,61763Q,6602648,2026,,2.06,2000,,,Y,1014083.0,997613.0,,,Primary Business not Hi-Tech,2026/2024/2023/5143/5451/2086 /5149/5191/6531/4731/4212/1629 /4225,2027-09-01,2027-03-01,,,2000-09-13,2000-09-13,,,,,,,,
1027986021,ARC International PLC,2000-09-20,2000-07-22,,88.862,,,,Mnfr microprocessors,0.0,,,,,00320Z,STG,,,,0,,,,,,,"30,000,000.0 Ord/Common Shs.",ANAIF,,London,ARK,,2000-07-22,,,,,13880,,5.000,,3.19053,,Manufacturing,,00320Z,Yes,,,GB0009645481,,,,,2000-07-22,2.58281,2000-09-20,LONDN,LONDN,,,,2.88667,,,U.K. Public,,,,United Kingdom,,,2.100,14881,No,,18782609,102.191,255.477,,,,,,,,,,3,,11217391,Ord/Common Shs.,0964548,Yes,No,14881,30000000,,,,No,,Semiconductors and related devices,3674,,,,,,,Argonaut Games Plc,,,,ARK,75000000,222.154,,5.11,,,,00320Z,0964548,3674,04005M,0,,AGT.L,,N,879071.0,879070.0,,,Semiconductors|Other Electronics|Robotics|Lasers(Excluding Medical)|Printed Circuit Boards,3674/3679/3675/3678,,,,,2000-09-16,2000-09-16,,,,,,,,
1029287101,Centrepoint Properties Ltd,2000-09-18,,,200.34,,,,Real estate development firm,4.950,,,Non-callable to,3,15633X,SG,,,,,,,,,,,4.950% Fxd/Straight Bd due '03,,,Singapore,F99,,,,2001-09-18,,,,1.717,0.3,,,,Real Estate,,65384Z,,,,,,,,,,,,NONE,NONE,,,NR,,,,Singapore Private,,,,Singapore,,,100.000,14871,No,,,200.34,200.34,,,2003-09-18,,,,,,,,,,Fxd/Straight Bd,BH7T0P3,,,14871,,,,,,,"Land subdividers and developers, except cemeteries",6552,,,None,,,,,,,Foreign,CTPS,,200.34,,0.601,,1.717,0.300,35546Q,B17NLV6,2086,,4.95,2000,,,Y,879270.0,879269.0,,,Primary Business not Hi-Tech,6552,,,,,,,,,,,,,,
1032181002,Main Street and Main Inc,2000-09-20,2000-08-01,Yes,9.528,,,,"Own,op restaurants",,,,,,560345,US,560345308,,,,,,,,,58,"4,011,740.0 Common Shares",MAIN,,Nasdaq,MAIN,11.6,2000-07-24,,,,,,,,,2.88,,Restaurant/Hotel,,560345,No,,,US5603453086,,,,,2000-07-24,2.88,2000-09-21,NASDQ,NASDQ,,,,2.88,,,U.S. Public,,,33.3,United States,,,2.375,,,6.38,4011740,9.528,9.528,,,,14898,,,,,,,,,Common Shares,2553988,Yes,Yes,,4011740,4011740,100,100,No,4011740,Eating places,5812,,,,,,,,,,Arizona,MAIN,4011740,9.528,11.554,,4011740,,,560345,2553988,5812,,0.0,2000,,,Y,1043244.0,1042820.0,,,Primary Business not Hi-Tech,5812/5813,,,,,,,,,,,,,,
1034781008,Residential Accredit 2000-QS10,2000-09-25,,No,75,4.7,,,Mortgage bankers,8.000,,,Clean up Call,,76162H,US,,,,,,,,,,584,8.000% Asset Bkd Certs due '30,,,,GM,6001,1999-02-19,,,,,,Market,,,,,Mortgage Bank,,76110W,,,,,,,,,,,,OTC,OTC,,,NR,,,,U.S. Public,Fin. Service,Non-Mtg. Pass,,United States,,,Market,14882,No,,,74.865,292.282,,,2030-09-25,,,,,,,,,,Asset Bkd Certs,,,,14882,,,,,,,Mortgage bankers and loan correspondents,6162,76162H,,,,,,,,,New York,,,293.175,,,,,,370442,B8GCDS4,3711,,Mark,2000,,,Y,1205951.0,1125244.0,,,Primary Business not Hi-Tech,6162/619B,,,,,2000-08-09,2000-08-09,,,,,,,Rev Cred/Home Eq,
1036353008,Government National Mortgage,2000-09-22,,No,421.715,4.7,,,Government sponsored agency,Floats,,,Clean up Call,,383736,US,3837H4WT8,,,,,,,,,,Pass-Thru Certs due '30,,,,,,,,,,,,Market,,,,,Fedl Credit Agcy,,383736,,,,,,,,,,,,OTC,OTC,,,NR,,,,U.S. Public,Agency,Pass-Through,,United States,,,Market,14882,No,,,421.715,747.512,,,2030-06-20,,,,,,,,,,Pass-Thru Certs,,,,14882,,,,,,,Federal and federally-sponsored credit agencies,6111,383736,,,,,,,,,D. of Columbia,,,747.512,,,,,,383736,,6111,,Floa,2000,,,Y,1205987.0,1125255.0,,,Primary Business not Hi-Tech,6111,,,,,2000-10-05,2000-10-05,,,,,,,GNMA,
1041202008,GMACM Mtg Loan Trust 2000-J3,2000-09-01,,No,145.16,3.5,,,Mortgage bank,7.750,,,Non-callable to,30.5,36205F,US,,,,,,,,,,35,7.750% Pass-Thru Certs due '30,,,,GM,6710.4,2000-07-28,,,,,,Market,,,,,Mortgage Bank,,370442,,,,,,,,,,,,OTC,OTC,,,NR,,,,U.S. Public,Mtg.Sec.Iss.,Pass-Through,,United States,M,,Market,14880,No,,,144.115,225.513,,,2030-10-25,,,,,,,,,,Pass-Thru Certs,,,,14880,,,,,,,Mortgage bankers and loan correspondents,6162,36205F,,,,,,,,,Pennsylvania,,,227.302,,,,,,370442,B8GCDS4,3711,,Mark,2000,,,Y,1206099.0,1125254.0,,,Primary Business not Hi-Tech,6162/619B,,,,,2000-10-05,2000-10-05,,,,,,,Residential Mtg,
