MASTER_DEAL_NO,NINAMES,MASTER_DEAL_DATE,AMENDDATE,AMENDED,PRINCIPALAMOUNT,AVGLIFE,BFO,BPSPREAD,BUSINESSS,COUPON,CALLPRICE,CALLPREMIUM,CALLTYPELONG,CALLYEARS,CUSIP,CURRENCY,CUSIP9,CVTDATE,CVTENDDATE,CVTPRICE,CVTPREMIUM,CVTSHARES,POSTPONED_DATE,WITHDRAWN_DATE2,WITHDRAWN_DATE,DAYSINREGISTRATION,DESCRIPTION,DS_TICKER,EXPECTEDDATE,EXCHANGE,UPTICKER,FILEAMOUNT,FILINGDATE,FINALMATURITY_YYYY,FIRST_COUPON_DATE,FIRSTRADEDATE,FINALMATURITY,FOUNDED,GROSS,GROSSPERCENT,GTRCUSIP,HIGHFILEPRICE,INITDIVDATE,INDUSTRY,INITIAL_COUPON_DATE,IP,IPO,IPO_TO_PRESENT,IPODATE,ISIN,ISSUE_DISCOUNT,ISSUEADVISOR,ISSUEADVISORLONG,LASTSALEDATE,LAUNCH_DATE,LOWFILEPRICE,LISTING_DATE,LISTIPO,LISTMAIN,MATURITY,MATURITY_YYYY,MOODY,MIDFILEPRICE,MGTFEE,MGTFEEPERCENT,MARKET,MTGISSUERTYPE,MORTGAGETYPE,MKTVALUEPF,NATION,calldate,ORIGINATOR,OFFERPRIC,PAYMENTDATE,PERPETUAL,PRICECURRENT,PRIMARYSHARES,PROCEEDSOVERSOLD,RANK1_OVERALLOT_TOTDOLAMTPR,PRICESAMEDAY,PUTDATE,QMATURITY,QUIET_PERIOD,REALLOW,REGISTRATION_STATUS,REGISTRATION_STATUS_LONG,REGRIGHTS,SELLCONC,SELLCONCPERCENT,SECREGF,SECONSHARES,SECURITY,SEDOL_INT,SELL_SHRHLDR_ELIG,SELL_SHRHLDR_ELIG_FLAG_YN,SETTLEMENT_DATE,SHARES,SH_SHAREHOLDERS,SHAREHOLDER_TAKE_UP_PCT,SHAREHOLDER_TAKE_UP_PCT_ALL,SHAREHOLDER_UNDISCLOSED,SHARESFILED,SICDESC,SICP,SIMOFFCUS,SINKEND,SINKPCT,SINKSTART,SINKTOTAL,SP,SPINNINAMES,SPINAFTER,SPINBEFORE,STATE,TICKER,TOTAL,TOTDOLAMT,TOTDOLAMTFILED,TOTGROSSMIL,TOTALSHARESFILED,UNDFEE,UNDFEEPERCENT,UPCUSIP,UPSEDOL,UPSICP,SPINCUSIP,YIELD,YEAR,SPINTICKER,YEARSTOPAR,MAIN_TRANCHE,TRANCHE_ID,PACKAGE_ID,REALLOWPERCENT,ALLOT_CUSIP,HIGHTECH,SIC_PRINT,MAX_COUPON_PAYMENT_DATE,MIN_COUPON_PAYMENT_DATE,MAX_CS_CALLDATE,MIN_CS_CALLDATE,MAX_EVENT_HISTORY_DATE,MIN_EVENT_HISTORY_DATE,MAX_LOCK_DATE,MIN_LOCK_DATE,MAX_LOCKUP_DAYS,MIN_LOCKUP_DAYS,MAX_DAYS_LEFT,MIN_DAYS_LEFT,ASSETTYPE_PRINT,MAX_LOC_DATE
1180736021,Friends Provident,2001-06-14,2001-07-04,,793.246,,,,Insurance co;inv co,0.0,,,,,35851C,STG,,,,0,,,,,,,"264,832,171.0 Ord/Common Shs.",FP.,,,,,2001-06-14,,,,,,,2.500,,3.60665,,Insurance,,35851C,Yes,,,,,,,,2001-06-14,2.80517,2001-07-09,LONDN,LONDN,,,,3.20591,,,U.K. Public,,,,United Kingdom,,,2.138,15168,No,,159596976,793.246,3468.419,,,,,,,,,,1.5,,105235195,Ord/Common Shs.,B3T6935,Yes,No,15168,264832171,,,,No,,Life insurance,6311,,,,,,,,,,,,1024923766,3194.903,,19.832,,,,35851C,B3T6935,6311,,0,,,,N,916287.0,916286.0,,,Primary Business not Hi-Tech,6311/6351/6331/6321/6799,,,,,2001-07-16,2001-07-06,,,,,,,,
1183644008,First Horizon Mtg 2001-4,2001-06-25,,No,183,3.6,,,Mortgage Bankers,6.750,,,Clean up Call,,32032N,US,,,,,,,,,,257,6.750% Pass-Thru Certs due '31,,,,,1000,2000-10-11,,,,,,Market,,,,,Mortgage Bank,,32031K,,,,,,,,,,,,OTC,OTC,,,Aaa,,,,U.S. Public,Mtg.Sec.Iss.,Pass-Through,,United States,,32031K,Market,15155,No,,,182.03,256.679,,,2031-07-25,,,,,,,,,,Pass-Thru Certs,,,,15155,,,,,,,Mortgage bankers and loan correspondents,6162,32032N,,,,,,,,,Texas,,,258.047,,,,,,32031K,,6162,,Mark,2001,,,Y,1210895.0,1125968.0,,,Primary Business not Hi-Tech,6162/619B,,,,,2001-06-27,2001-06-27,,,,,,,Residential Mtg,
1185386008,Residential Fndg Mtg 2001-S14,2001-06-25,,No,196,3.9,,,Mortgage securities finance co,6.750,,,Clean up Call,,76174W,US,,,,,,,,,,54,6.750% Pass-Thru Certs due '31,,,,GM,3672.6,2001-05-02,,,,,,Market,,,,,Mortgage Bank,,76091P,,,,,,,,,,,,OTC,OTC,,,Aaa,,,,U.S. Public,Mtg.Sec.Iss.,Pass-Through,,United States,,76091P,Market,15154,No,,,194.471,664.187,,,2031-06-25,,,,,,,,,,Pass-Thru Certs,,,,15154,,,,,,,Mortgage bankers and loan correspondents,6162,76174W,,,,,,,,,New York,,,669.784,,,,,,370442,B8GCDS4,3711,,Mark,2001,,,Y,1210959.0,1126035.0,,,Primary Business not Hi-Tech,6162/619B,,,,,2001-07-19,2001-07-19,,,,,,,Residential Mtg,
1185981021,Oxus Mining PLC,2001-06-27,,,11.304,,,,Investment holding company,0.0,,,,,69206W,STG,,,,0,,,,,,,"26,600,000.0 Ord/Common Shs.",OXS,,,,,2001-06-13,,,,,,,,,,,Other Finance,,69206W,Yes,,,,,,,,2001-06-13,,2001-07-04,AIM,AIM,,,,,,,U.K. Public,,,,United Kingdom,,,0.300,15165,No,0.107,26600000,11.304,11.304,,,,,,,,,,,,,Ord/Common Shs.,3063271,Yes,Yes,15165,26600000,,,,No,,"Investors, nec",6799,,,,,,,,,,,,26600000,11.304,,,,,,69206W,3063271,6799,,0,,,,Y,890209.0,890208.0,,,Primary Business not Hi-Tech,6799/6719,,,,,2001-06-06,2001-06-06,,,,,,,,
1186012021,GW Pharmaceuticals PLC,2001-06-21,,,35.38,,,,Mnfr diagnostic pharma,0,,,,,36197T,STG,,,,0,,,,,,,"13,736,264.0 Ord/Common Shs.",GWP,,London AIM,GWP,,2001-05-15,,,,,13880,,,,,,Manufacturing,,36197T,Yes,,,,,,,,2001-05-15,,2001-06-21,AIM,AIM,,,,,,,U.K. Public,,,,United Kingdom,,,1.820,15154,No,,13736264,35.38,35.38,,,,,,,,,,,,,Ord/Common Shs.,B94RPL5,Yes,Yes,15154,13736264,,,,No,,Pharmaceutical preparations,2834,,,,,,,,,,,GWP,13736264,35.38,,,,,,36197T,B94RPL5,2834,,0,,,,Y,935192.0,935191.0,,,In-Vivo Diagnostic Products|In-Vitro Diagnostic Products|General Pharmaceuticals|Medicinal Chemicals|Vaccines/Specialty Drugs|Other Biotechnology|Over-The-Counter Drugs|Genetically Eng. Prod(Human),2834/2835/2833,,,,,2001-06-28,2001-06-21,,,,,,,,
1188769021,PHS Group PLC,2001-06-25,2001-06-08,,152.483,,,,Pvd facilities mgmt svcs,0.0,,,,,69508L,STG,,,,0,,,,,,,"134,893,000.0 Ord/Common Shs.",PHY,,London,,,2001-06-08,,,,,1096,,3.175,,2.0862,,Pers/Bus/Rep Svc,,69294N,Yes,,,GB0030564974,,,,,2001-06-08,1.52988,2001-06-25,LONDN,LONDN,,,,1.80804,,,U.K. Public,,,801.6,United Kingdom,,,0.800,15155,No,,99821800,152.483,476.834,,,,,,,,,,1.95,,35071200,Ord/Common Shs.,,Yes,Yes,15155,134893000,,,,No,,"Building cleaning and maintenance services, nec",7349,,,,,,,Charterhouse Development,,,,PHY,421827500,476.834,,4.841,,,,69294N,,7349,16133G,0,,,,N,935862.0,930265.0,,,Primary Business not Hi-Tech,7349,,,,,2001-06-29,2001-06-08,,,,,,,,
1189046009,Digital China Holdings Ltd,2001-06-01,,,100.167,,,,"Whl infotech prod,commun equip",,,,,,25405R,HK,,,,,,,,,,,"212,318,278.0 Ord/Common Shs.",DICH,,Hong Kong,0992,,2001-05-29,,,,,15000,0.019,4.0,,0.47178,,Wholesale,,52464P,Yes,,,BMG2759B1072,,,,,2001-05-29,0.3846,2001-06-01,HONGK,HONGK,,,,0.42819,0.004,0.800,Euro Public,,,457.4,Hong Kong,,,3.680,15131,,1.602,62309709,106.413,123.068,,,,,,,,,0.011,2.4,,150008569,Ord/Common Shs.,6351865,Yes,Yes,15131,212318278,,,,No,,Computers and peripheral equipment and software,5045,25405R,,,,,,,,,Foreign,00861,247622278,116.822,,4.257,,0.004,0.800,52464P,6218089,3571,,0.0,2001,,,Y,920467.0,920466.0,,,Primary Business not Hi-Tech|Turnkey Systems|Other Computer Systems,5045/5065/7373/6719,,,,,2001-06-01,2001-06-01,,,,,,,,
1189071100,Digital China Holdings Ltd,2001-06-01,,,16.656,,,,"Whl infotech prod,commun equip",,,,,,25405R,HK,,,,,,,,,,,"35,304,000.0 Ord/Common Shs.",DICH,,Hong Kong,0992,,2001-05-29,,,,,15000,0.012,2.5,,0.47178,,Wholesale,,52464P,Yes,,,BMG2759B1072,,,,,2001-05-29,0.3846,2001-06-01,HONGK,HONGK,,,,0.42819,0.006,1.250,Hong Kong Public,,,457.4,Hong Kong,,,3.680,15131,,1.602,35304000,16.656,123.068,,,,,,,,,,,,,Ord/Common Shs.,6351865,Yes,Yes,15131,35304000,,,,No,,Computers and peripheral equipment and software,5045,25405R,,,,,,,,,Foreign,00861,247622278,116.822,,0.416,,0.006,1.250,52464P,6218089,3571,,0,2001,,,N,937230.0,920466.0,,,Primary Business not Hi-Tech|Turnkey Systems|Other Computer Systems,5045/5065/7373/6719,,,,,2001-06-01,2001-06-01,,,,,,,,
1189242011,FNF Capital Funding,2001-06-04,,,10.85,,,371,special purpose finance co,9.000,,,Non-callable to,6.3,38740E,US,20253WAJ9,,,,,,,,,,9.000% Asset Bkd Certs due '07,,,,FNF,,,,,,,,Market,Market,,,,Credit Inst.,,316326,,,,,,,,,,,,NONE,NONE,,,NR,,,,U.S. Private,Equip Lessor,Non-Mtg. Pass,,United States,M,,Market,15133,No,,,10.85,10.85,,,2007-08-20,,,,,No,,,,,Asset Bkd Certs,,,,15133,,,,,,,Short-term business credit institutions,6153,,,,,,,,,,Colorado,,,10.85,,,,,,316326,BNBRDD4,6361,,Mark,2001,,,Y,,1259271.0,,,Primary Business not Hi-Tech,6153/6211/6159/619B,,,,,,,,,,,,,Equip. Leases,
1189814006,General Motors Acceptance Corp,2001-06-01,,,50.85,,,,Pvd financing services,6.500,,,Non-callable to,4.1,37042N,AU,,,,,,,,,,,6.500% Fxd/Straight Bd due '05,,,,GM,,,,2002-06-05,,,,8.263,1.625,,,,Credit Inst.,,370424,,,,,,,,,,,,LONDN,LONDN,,,A2,,,,Euro Public,,,,Australia,M,,100.85,15131,No,,,51.282,51.282,,,2005-07-05,,,,,,6.992,1.375,,,Fxd/Straight Bd,,,,15131,,,,,,,Short-term business credit institutions,6153,,,None,,,,,,,Foreign,,,50.85,,0.826,,,,370442,B72XK05,3711,,6.26,2001,,,Y,937969.0,937968.0,,,Primary Business not Hi-Tech,6153/6159,,,,,,,,,,,,,,
