MASTER_DEAL_NO,NINAMES,MASTER_DEAL_DATE,AMENDDATE,AMENDED,PRINCIPALAMOUNT,AVGLIFE,BFO,BPSPREAD,BUSINESSS,COUPON,CALLPRICE,CALLPREMIUM,CALLTYPELONG,CALLYEARS,CUSIP,CURRENCY,CUSIP9,CVTDATE,CVTENDDATE,CVTPRICE,CVTPREMIUM,CVTSHARES,POSTPONED_DATE,WITHDRAWN_DATE2,WITHDRAWN_DATE,DAYSINREGISTRATION,DESCRIPTION,DS_TICKER,EXPECTEDDATE,EXCHANGE,UPTICKER,FILEAMOUNT,FILINGDATE,FINALMATURITY_YYYY,FIRST_COUPON_DATE,FIRSTRADEDATE,FINALMATURITY,FOUNDED,GROSS,GROSSPERCENT,GTRCUSIP,HIGHFILEPRICE,INITDIVDATE,INDUSTRY,INITIAL_COUPON_DATE,IP,IPO,IPO_TO_PRESENT,IPODATE,ISIN,ISSUE_DISCOUNT,ISSUEADVISOR,ISSUEADVISORLONG,LASTSALEDATE,LAUNCH_DATE,LOWFILEPRICE,LISTING_DATE,LISTIPO,LISTMAIN,MATURITY,MATURITY_YYYY,MOODY,MIDFILEPRICE,MGTFEE,MGTFEEPERCENT,MARKET,MTGISSUERTYPE,MORTGAGETYPE,MKTVALUEPF,NATION,calldate,ORIGINATOR,OFFERPRIC,PAYMENTDATE,PERPETUAL,PRICECURRENT,PRIMARYSHARES,PROCEEDSOVERSOLD,RANK1_OVERALLOT_TOTDOLAMTPR,PRICESAMEDAY,PUTDATE,QMATURITY,QUIET_PERIOD,REALLOW,REGISTRATION_STATUS,REGISTRATION_STATUS_LONG,REGRIGHTS,SELLCONC,SELLCONCPERCENT,SECREGF,SECONSHARES,SECURITY,SEDOL_INT,SELL_SHRHLDR_ELIG,SELL_SHRHLDR_ELIG_FLAG_YN,SETTLEMENT_DATE,SHARES,SH_SHAREHOLDERS,SHAREHOLDER_TAKE_UP_PCT,SHAREHOLDER_TAKE_UP_PCT_ALL,SHAREHOLDER_UNDISCLOSED,SHARESFILED,SICDESC,SICP,SIMOFFCUS,SINKEND,SINKPCT,SINKSTART,SINKTOTAL,SP,SPINNINAMES,SPINAFTER,SPINBEFORE,STATE,TICKER,TOTAL,TOTDOLAMT,TOTDOLAMTFILED,TOTGROSSMIL,TOTALSHARESFILED,UNDFEE,UNDFEEPERCENT,UPCUSIP,UPSEDOL,UPSICP,SPINCUSIP,YIELD,YEAR,SPINTICKER,YEARSTOPAR,MAIN_TRANCHE,TRANCHE_ID,PACKAGE_ID,REALLOWPERCENT,ALLOT_CUSIP,HIGHTECH,SIC_PRINT,MAX_COUPON_PAYMENT_DATE,MIN_COUPON_PAYMENT_DATE,MAX_CS_CALLDATE,MIN_CS_CALLDATE,MAX_EVENT_HISTORY_DATE,MIN_EVENT_HISTORY_DATE,MAX_LOCK_DATE,MIN_LOCK_DATE,MAX_LOCKUP_DAYS,MIN_LOCKUP_DAYS,MAX_DAYS_LEFT,MIN_DAYS_LEFT,ASSETTYPE_PRINT,MAX_LOC_DATE
1000372114,Australian Overseas Resources,2000-01-24,,,0.035,,,,Mining company,,,,,,05262C,AU,,,,,,,,,,,"532,000.0 Ordinary Shares",,,Australia,AOV,,1999-11-18,,,,,,,,,,,Natural Resource,,05262C,No,,,,,,,,1999-11-18,,2000-01-24,AUSLA,AUSLA,,,,,,0.0,Australia Private,,,3.3,Australia,,,0.100,,,,532000,0.035,0.539,,,,,,,,,,,,,Ordinary Shares,,Yes,Yes,,532000,,,,No,,"Ferroalloy ores, except vanadium",1061,05262C,,,,,,,,,Foreign,AOV,6702000,0.539,,,,,,05262C,,1061,,0.0,2000,,,N,1010072.0,993637.0,,,Primary Business not Hi-Tech,1061/3312/3316/3321/3322/6719,,,,,,,,,,,,,,
1000426114,Tradehouse International Ltd,2000-01-07,,,1.638,,,,Pvd financing services,,,,,,89257Q,AU,,,,,,,,,,,"12,500,000.0 Ordinary Shares",CMGX,,Australia,THL,1.6,2000-01-07,,,,,14563,0.008,6.0,,0.131,,Credit Inst.,,89257Q,Yes,,,AU000000THL5,,,,,2000-01-07,0.131,2000-02-28,AUSLA,AUSLA,,,,0.131,Comb.,0.0,Australia Public,,,3.9,Australia,,,0.200,14621,,0.343,12500000,1.638,1.638,,,,,,,,,,,,,Ordinary Shares,6207775,Yes,Yes,14621,12500000,,,,No,12500000,Personal credit institutions,6141,,,,,,,,,,Foreign,THL,12500000,1.638,,0.098,12500000,Comb.,Comb.,89257Q,6207775,6141,,0.0,2000,,,Y,1010104.0,993668.0,,,Primary Business not Hi-Tech,6141/6153/6159,,,,,2000-02-02,2000-01-07,,,,,,,,
1000523109,Daeha Synthetics Fibers Inc,2000-01-13,,,11.453,,,,Mnfr textile products,8.000,,,,,23400L,WON,,,,,,,,,,,8.000% Guaranteed Bds due '03,,,,,,,,,,,,0.0069,0.8,500630,,,Manufacturing,,23400L,,,,,,,,,,,,KOSDQ,KOSDQ,,,,,,,South Korea Publi,,,,South Korea,,,91.1,,,,,10.434,10.434,,,2003-01-13,,,,,,,,,,Guaranteed Bds,,,,,,,,,,,"Textile goods, nec",2299,,,,,,,,,,Foreign,,,11.453,,0.092,,,,23400L,,2299,,54.0,2000,,,Y,836151.0,836150.0,,,Primary Business not Hi-Tech,2299,,,,,,,,,,,,,,
1000529109,Dae Kyoung Special Steel Co,2000-01-13,,,8.81,,,,"Mnfr cold-rolled steel,pipes",11.000,,,,,23769J,WON,,,,,,,,,,,11.000% Guaranteed Bds due '01,,,,,,,,,,,,0.003,0.3,500632,,,Manufacturing,,23398Y,,,,,,,,,,,,KOSDQ,KOSDQ,,,,,,,South Korea Publi,,,,South Korea,,,97.26,,,,,8.569,8.569,,,2001-01-13,,,,,,,,,,Guaranteed Bds,,,,,,,,,,,"Cold-rolled steel sheet, strip and bars",3316,,,,,,,,,,Foreign,,,8.81,,0.026,,,,23398Y,,6799,,55.5,2000,,,Y,836155.0,836154.0,,,Primary Business not Hi-Tech,3316/3317,,,,,,,,,,,,,,
1000532109,Choong Nam Spinning Co Ltd,2000-01-14,,,8.001,,,,Mnfr textiles,10.000,,,,,17039F,WON,,,,,,,,,,,10.000% Guaranteed Bds due '01,,,Korea,001380,,,,,,,-1836,0.003,0.3,23404K,,,Manufacturing,,17039F,,,,,,,,,,,,KOSDQ,KOSDQ,,,,,,,South Korea Publi,,,,South Korea,,,100.0,,,,,8.001,8.001,,,2001-01-15,,,,,,,,,,Guaranteed Bds,6192956,,,,,,,,,,"Textile goods, nec",2299,,,,,,,,,,Foreign,001380,,8.001,,0.024,,,,17039F,6192956,2299,,10.0,2000,,,Y,836159.0,836158.0,,,Primary Business not Hi-Tech,2299,,,,,,,,,,,,,,
1000534109,Daeha Fashion,2000-01-21,,,1.329,,,,Mnfr women children outerwear,9.000,,,,,23396L,WON,,,,,,,,,,,9.000% Guaranteed Bds due '03,,,,,,,,,,,,0.004,0.4,500632,,,Manufacturing,,23396L,,,,,,,,,,,,KOSDQ,KOSDQ,,,,,,,South Korea Publi,,,,South Korea,,,90.37,,,,,1.201,1.201,,,2003-01-21,,,,,,,,,,Guaranteed Bds,,,,,,,,,,,"Women's, misses', & juniors' outerwear, nec",2339,,,,,,,,,,Foreign,,,1.329,,0.005,,,,23396L,,2339,,54.5,2000,,,Y,836163.0,836162.0,,,Primary Business not Hi-Tech,2339/2369/2389,,,,,,,,,,,,,,
1000538109,Hankook Tire Co Ltd,2000-01-07,,,30.765,,,,"Mnfr tires,inner tubes",8.000,,,,,41046A,WON,,,,,,,,,,,8.000% Bonds due '03,,,Korea,000240,,,,,,,-6810,0.003,0.300,,,,Manufacturing,,41046A,,,,,,,,,,,,KOSDQ,KOSDQ,,,,,,,South Korea Publi,,,,South Korea,,,93.510,,,,,28.768,28.768,,,2003-01-07,,,,,,,,,,Bonds,6107422,,,,,,,,,,Tires and inner tubes,3011,,,,,,,,,,Foreign,000240,,30.765,,0.092,,,,41046A,6107422,3011,,54.0,2000,,,Y,836173.0,836172.0,,,Primary Business not Hi-Tech,3011/3691/7538/6512,,,,,,,,,,,,,,
1000546109,Daea Construction Co Ltd,2000-01-17,,,8.92,,,,Construction company,8.000,,,,,23398M,WON,,,,,,,,,,,8.000% Bonds due '01,,,,,,,,,,,,0.003,0.3,,,,Construction,,23398M,,,,,,,,,,,,KOSDQ,KOSDQ,,,,,,,South Korea Publi,,,,South Korea,,,94.81,,,,,8.457,8.457,,,2001-01-17,,,,,,,,,,Bonds,,,,,,,,,,,"Residential construction, nec",1522,,,,,,,,,,Foreign,,,8.92,,0.027,,,,23398M,,1522,,54.0,2000,,,Y,836191.0,836190.0,,,Primary Business not Hi-Tech,1522/1541/1542/1611/1622/1623 /1711/1731/1741/1742/1751/1752 /1761/1771/1799/1629/1521,,,,,,,,,,,,,,
1000552109,Hanwha Chemical Corp,2000-01-05,,,88.1,,,,"Mnfr,whl petrochem prod",8.000,,,,,41138X,WON,,,,,,,,,,,8.000% Bonds due '03,,,Korea,009830,,,,,,,5230,0.001,0.150,,,,Manufacturing,,41138X,,,,,,,,,,,,KOSDQ,KOSDQ,,,,,,,South Korea Publi,,,,South Korea,,,88.080,,,,,77.598,77.598,,,2003-01-05,,,,,,,,,,Bonds,6407768,,,,,,,,,,Plastics materials and synthetic resins,2821,,,,,,,,,,Foreign,009830,,88.1,,0.132,,,,41138X,6407768,2821,,54.0,2000,,,Y,836203.0,836202.0,,,Primary Business not Hi-Tech,2821/2812/2869/5169/2865/3089 /2834,,,,,,,,,,,,,,
1000871008,JP Morgan CMFC 2000-C9,2000-01-14,,No,36.647,9.7,,,mortgage banker,Varies,,,Non-callable to,33.2,61693K,US,,,,,,,,,,116,Comm Mtg PT Crt due '32,,,,CMB,3000,1999-09-20,,,,,,Market,,,,,Mortgage Bank,,61688Z,,,,,,,,,,,,OTC,OTC,,,Aa2,,,,U.S. Public,Fin. Service,Pass-Through,,United States,M,,Market,14634,No,,,37.563,751.269,,,2032-10-15,,,,,,,,,,Comm Mtg PT Crt,,,,14634,,,,,,,Mortgage bankers and loan correspondents,6162,61693K,,,,,,,,,New York,,,732.945,,,,,,16161A,2190385,6021,,Mark,2000,,,N,1204776.0,1124776.0,,,Primary Business not Hi-Tech,6162/619B,,,,,2000-04-27,2000-04-27,,,,,,,Comm. Mtg,
