MASTER_DEAL_NO,NINAMES,MASTER_DEAL_DATE,AMENDDATE,AMENDED,PRINCIPALAMOUNT,AVGLIFE,BFO,BPSPREAD,BUSINESSS,COUPON,CALLPRICE,CALLPREMIUM,CALLTYPELONG,CALLYEARS,CUSIP,CURRENCY,CUSIP9,CVTDATE,CVTENDDATE,CVTPRICE,CVTPREMIUM,CVTSHARES,POSTPONED_DATE,WITHDRAWN_DATE2,WITHDRAWN_DATE,DAYSINREGISTRATION,DESCRIPTION,DS_TICKER,EXPECTEDDATE,EXCHANGE,UPTICKER,FILEAMOUNT,FILINGDATE,FINALMATURITY_YYYY,FIRST_COUPON_DATE,FIRSTRADEDATE,FINALMATURITY,FOUNDED,GROSS,GROSSPERCENT,GTRCUSIP,HIGHFILEPRICE,INITDIVDATE,INDUSTRY,INITIAL_COUPON_DATE,IP,IPO,IPO_TO_PRESENT,IPODATE,ISIN,ISSUE_DISCOUNT,ISSUEADVISOR,ISSUEADVISORLONG,LASTSALEDATE,LAUNCH_DATE,LOWFILEPRICE,LISTING_DATE,LISTIPO,LISTMAIN,MATURITY,MATURITY_YYYY,MOODY,MIDFILEPRICE,MGTFEE,MGTFEEPERCENT,MARKET,MTGISSUERTYPE,MORTGAGETYPE,MKTVALUEPF,NATION,calldate,ORIGINATOR,OFFERPRIC,PAYMENTDATE,PERPETUAL,PRICECURRENT,PRIMARYSHARES,PROCEEDSOVERSOLD,RANK1_OVERALLOT_TOTDOLAMTPR,PRICESAMEDAY,PUTDATE,QMATURITY,QUIET_PERIOD,REALLOW,REGISTRATION_STATUS,REGISTRATION_STATUS_LONG,REGRIGHTS,SELLCONC,SELLCONCPERCENT,SECREGF,SECONSHARES,SECURITY,SEDOL_INT,SELL_SHRHLDR_ELIG,SELL_SHRHLDR_ELIG_FLAG_YN,SETTLEMENT_DATE,SHARES,SH_SHAREHOLDERS,SHAREHOLDER_TAKE_UP_PCT,SHAREHOLDER_TAKE_UP_PCT_ALL,SHAREHOLDER_UNDISCLOSED,SHARESFILED,SICDESC,SICP,SIMOFFCUS,SINKEND,SINKPCT,SINKSTART,SINKTOTAL,SP,SPINNINAMES,SPINAFTER,SPINBEFORE,STATE,TICKER,TOTAL,TOTDOLAMT,TOTDOLAMTFILED,TOTGROSSMIL,TOTALSHARESFILED,UNDFEE,UNDFEEPERCENT,UPCUSIP,UPSEDOL,UPSICP,SPINCUSIP,YIELD,YEAR,SPINTICKER,YEARSTOPAR,MAIN_TRANCHE,TRANCHE_ID,PACKAGE_ID,REALLOWPERCENT,ALLOT_CUSIP,HIGHTECH,SIC_PRINT,MAX_COUPON_PAYMENT_DATE,MIN_COUPON_PAYMENT_DATE,MAX_CS_CALLDATE,MIN_CS_CALLDATE,MAX_EVENT_HISTORY_DATE,MIN_EVENT_HISTORY_DATE,MAX_LOCK_DATE,MIN_LOCK_DATE,MAX_LOCKUP_DAYS,MIN_LOCKUP_DAYS,MAX_DAYS_LEFT,MIN_DAYS_LEFT,ASSETTYPE_PRINT,MAX_LOC_DATE
1196081008,CHL Mortgage Trust 2001-16,2001-08-24,,No,120,4.1,,,Mortgage bankers,6.050,,,Clean up Call,,12759F,US,,,,,,,,,,52,6.050% Pass-Thru Certs due '31,,,,CCR,12344.9,2001-07-03,,,,,,Market,,,,,Mortgage Bank,,12446Z,,,,,,,,,,,,OTC,OTC,,,Aaa,,,,U.S. Public,Mtg.Sec.Iss.,Pass-Through,,United States,,12446Z,Market,15217,No,,,119.508,791.163,,,2031-10-25,,,,,,,,,,Pass-Thru Certs,,,,15217,,,,,,,Mortgage bankers and loan correspondents,6162,12759F,,,,,,,,,California,,,794.421,,,,,,222372,2295677,6162,,Mark,2001,,,N,1212047.0,1126145.0,,,Primary Business not Hi-Tech,6162/6141/6411/6221/619B,,,,,2001-08-30,2001-08-30,,,,,,,Residential Mtg,
1196085008,Residential Fund Mort 2001-S17,2001-08-28,,No,601.547,,,,Mortgage securities finance co,,,,Non-callable to,30.4,76178N,US,,,,,,,,,,923,Pass-Thru Certs due '31,,,,GM,12001,1999-02-17,,,,,,Market,,,,,Mortgage Bank,,76110W,,,,,,,,,,,,OTC,OTC,,,Aaa,,,,U.S. Public,Mtg.Sec.Iss.,Pass-Through,,United States,M,76110W,Market,15217,No,,,597.697,614.303,,,2031-08-25,,,,,,,,,,Pass-Thru Certs,,,,15217,,,,,,,Mortgage bankers and loan correspondents,6162,76178N,,,,,,,,,New York,,,618.334,,,,,,370442,BYP4ZF4,3711,,Mark,2001,,,Y,1212062.0,1125947.0,,,Primary Business not Hi-Tech,6162/619B,,,,,,,,,,,,,Residential Mtg,
1197318008,GMAC 2001-J4,2001-08-20,,No,295.269,,,,special purpose finance co,,,,Non-callable to,30.4,36211P,US,,,,,,,,,,388,Pass-Thru Certs due '31,,,,GM,6710.4,2000-07-28,,,,,,Market,,,,,Mortgage Bank,,76085C,,,,,,,,,,,,OTC,OTC,,,Aaa,,,,U.S. Public,Mtg.Sec.Iss.,Pass-Through,,United States,M,76085C,Market,15244,No,,,293.586,293.586,,,2031-08-25,,,,,,,,,,Pass-Thru Certs,,,,15244,,,,,,,Mortgage bankers and loan correspondents,6162,,,,,,,,,,Minnesota,,,295.269,,,,,,370442,BYP4ZF4,3711,,Mark,2001,,,Y,1212332.0,1125983.0,,,Primary Business not Hi-Tech,6162/619B,,,,,,,,,,,,,Residential Mtg,
1197324008,Government National Mortgage,2001-08-23,,No,200,5.7,,,Government sponsored agency,6.500,,,Clean up Call,,383736,US,38373RTM1,,,,,,,,,,6.500% Pass-Thru Certs due '29,,,,,,,,,,,,Market,,,,,Fedl Credit Agcy,,383736,,,,,,,,,,,,OTC,OTC,,,NR,,,,U.S. Public,Agency,Pass-Through,,United States,,,Market,15217,No,,,200,512.552,,,2029-03-15,,,,,,,,,,Pass-Thru Certs,,,,15217,,,,,,,Federal and federally-sponsored credit agencies,6111,383736,,,,,,,,,D. of Columbia,,,512.552,,,,,,383736,,6111,,Mark,2001,,,Y,1212338.0,1126135.0,,,Primary Business not Hi-Tech,6111,,,,,2001-08-27,2001-08-27,,,,,,,GNMA,
1197739008,RALI Series 2001-QS10,2001-08-27,,No,112.614,5.2,,,Special purpose finance co,7.000,,,Clean up Call,,76081E,US,,,,,,,,,,112,7.000% Pass-Thru Certs due '31,,,,GM,5556.7,2001-05-07,,,,,,Market,,,,,Mortgage Bank,,76112W,,,,,,,,,,,,OTC,OTC,,,Aaa,,,,U.S. Public,Mtg.Sec.Iss.,Pass-Through,,United States,,76112W,Market,15217,No,,,112.873,263.676,,,2031-08-25,,,,,,,,,,Pass-Thru Certs,,,,15217,,,,,,,Mortgage bankers and loan correspondents,6162,76081E,,,,,,,,,New York,,,263.152,,,,,,370442,B8GCDS4,3711,,Mark,2001,,,Y,1212402.0,1126258.0,,,Primary Business not Hi-Tech,6162/619B,,,,,2001-09-26,2001-09-26,,,,,,,Residential Mtg,
1197745008,RFMSI Series 2001-S18,2001-08-27,,No,11.074,3.1,,,Mortgage securities finance co,Floats,,,Clean up Call,,76080M,US,,,,,,,,,,117,Pass-Thru Certs due '31,,,,GM,3672.6,2001-05-02,,,,,,Market,,,,,Mortgage Bank,,76091P,,,,,,,,,,,,OTC,OTC,,,NR,,,,U.S. Public,Mtg.Sec.Iss.,Pass-Through,,United States,,76091P,Market,15217,No,,,11.009,408.835,,,2031-08-25,,,,,,,,,,Pass-Thru Certs,,,,15217,,,,,,,Mortgage bankers and loan correspondents,6162,76080M,,,,,,,,,New York,,,411.234,,,,,,370442,BYP4ZF4,3711,,Floa,2001,,,N,1212408.0,1125997.0,,,Primary Business not Hi-Tech,6162/619B,,,,,2001-10-02,2001-10-02,,,,,,,Residential Mtg,
1197770008,Countrywide Alt. Loan 2001-8,2001-08-24,,No,75,1.1,,,Special purpose finance co,7.000,,,Clean up Call,,22245P,US,,,,,,,,,,52,7.000% Pass-Thru Certs due '31,,,,CCR,12344.9,2001-07-03,,,,,,Market,,,,,Mortgage Bank,,12446Z,,,,,,,,,,,,OTC,OTC,,,Aaa,,,,U.S. Public,Mtg.Sec.Iss.,Pass-Through,,United States,,12446Z,Market,15217,No,,,75,296.967,,,2031-11-25,,,,,,,,,,Pass-Thru Certs,,,,15217,,,,,,,Mortgage bankers and loan correspondents,6162,22245P,,,,,,,,,California,,,296.967,,,,,,222372,2295677,6162,,Mark,2001,,,N,1212434.0,1126163.0,,,Primary Business not Hi-Tech,6162/619B,,,,,2001-09-06,2001-09-06,,,,,,,Residential Mtg,
1197855008,Citicorp Mortgage Sec 2001-12,2001-08-28,,No,56.116,3.7,,,Mortgage securities finance co,6.250,,,Clean up Call,,17319K,US,,,,,,,,,,924,6.250% Pass-Thru Certs due '31,,,,C,11782.2,1999-02-16,,,,,,Market,,,,,Mortgage Bank,,172921,,,,,,,,,,,,OTC,OTC,,,NR,,,,U.S. Public,Mtg.Sec.Iss.,Pass-Through,,United States,,172921,Market,15217,No,,,55.184,425.305,,,2031-08-25,,,,,,,,,,Pass-Thru Certs,,,,15217,,,,,,,Mortgage bankers and loan correspondents,6162,17319K,,,,,,,,,New York,,,432.88,,,,,,172967,2297907,6021,,Mark,2001,,,N,1212441.0,1126002.0,,,Primary Business not Hi-Tech,6162/619A,,,,,2001-10-03,2001-10-03,,,,,,,Residential Mtg,
1200158009,Owl Technologies Ltd,2001-08-28,,,1.254,,,,Biological svcs,,,,,,67136K,STG,,,,,,,,,,,"21,600,000.0 Ord/Common Shs.",NGR,,,,,2001-07-06,,,15222,,,,,,,,Manufacturing,,67136K,Yes,,,,,,,,2001-07-06,0.05804,2001-09-04,AIM,AIM,,,,0.05804,,,Euro Public,,,,Jersey,,,0.040,15225,,1.077,21600000,1.254,1.254,0.069,,,,,,,,,,,,Ord/Common Shs.,B3B5FZ4,Yes,Yes,15225,21600000,,,,No,,"Cyclic crudes and intermediates, and organic dyes",2865,,,,,,,,,,Foreign,,21600000,1.254,,,,,,67136K,B3B5FZ4,2865,,0.0,2001,,,Y,946660.0,946659.0,,,Primary Business not Hi-Tech,2865/2842,,,,,,,,,,,,,,
1203160021,Ideal Shopping Direct PLC,2001-08-02,,,5.154,,,,Pvd TV home shopping svcs,0,,,,,45185R,STG,,,,0,,,,,,,"8,997,500.0 Ord/Common Shs.",IDS,,London AIM,IDS,,2001-08-02,,,,,7305,,,,,,Radio/TV/Telecom,,45185R,No,,,,,,,,2001-08-02,0.57288,2001-08-02,AIM,AIM,,,,0.57288,,,U.K. Public,,,16.5,United Kingdom,,,0.400,15196,No,2.407,8997500,5.154,5.154,,,,,,,,,,,,,Ord/Common Shs.,0120210,Yes,Yes,15196,8997500,,,,No,,Television broadcasting stations,4833,,,,,,,,,,,IDS,8997500,5.155,,,,,,45185R,0120210,4833,,0,,,,Y,948730.0,948729.0,,,Primary Business not Hi-Tech,4833/7319/7819,,,,,2001-07-24,2001-07-24,,,,,,,,
