MASTER_DEAL_NO,NINAMES,MASTER_DEAL_DATE,AMENDDATE,AMENDED,PRINCIPALAMOUNT,AVGLIFE,BFO,BPSPREAD,BUSINESSS,COUPON,CALLPRICE,CALLPREMIUM,CALLTYPELONG,CALLYEARS,CUSIP,CURRENCY,CUSIP9,CVTDATE,CVTENDDATE,CVTPRICE,CVTPREMIUM,CVTSHARES,POSTPONED_DATE,WITHDRAWN_DATE2,WITHDRAWN_DATE,DAYSINREGISTRATION,DESCRIPTION,DS_TICKER,EXPECTEDDATE,EXCHANGE,UPTICKER,FILEAMOUNT,FILINGDATE,FINALMATURITY_YYYY,FIRST_COUPON_DATE,FIRSTRADEDATE,FINALMATURITY,FOUNDED,GROSS,GROSSPERCENT,GTRCUSIP,HIGHFILEPRICE,INITDIVDATE,INDUSTRY,INITIAL_COUPON_DATE,IP,IPO,IPO_TO_PRESENT,IPODATE,ISIN,ISSUE_DISCOUNT,ISSUEADVISOR,ISSUEADVISORLONG,LASTSALEDATE,LAUNCH_DATE,LOWFILEPRICE,LISTING_DATE,LISTIPO,LISTMAIN,MATURITY,MATURITY_YYYY,MOODY,MIDFILEPRICE,MGTFEE,MGTFEEPERCENT,MARKET,MTGISSUERTYPE,MORTGAGETYPE,MKTVALUEPF,NATION,calldate,ORIGINATOR,OFFERPRIC,PAYMENTDATE,PERPETUAL,PRICECURRENT,PRIMARYSHARES,PROCEEDSOVERSOLD,RANK1_OVERALLOT_TOTDOLAMTPR,PRICESAMEDAY,PUTDATE,QMATURITY,QUIET_PERIOD,REALLOW,REGISTRATION_STATUS,REGISTRATION_STATUS_LONG,REGRIGHTS,SELLCONC,SELLCONCPERCENT,SECREGF,SECONSHARES,SECURITY,SEDOL_INT,SELL_SHRHLDR_ELIG,SELL_SHRHLDR_ELIG_FLAG_YN,SETTLEMENT_DATE,SHARES,SH_SHAREHOLDERS,SHAREHOLDER_TAKE_UP_PCT,SHAREHOLDER_TAKE_UP_PCT_ALL,SHAREHOLDER_UNDISCLOSED,SHARESFILED,SICDESC,SICP,SIMOFFCUS,SINKEND,SINKPCT,SINKSTART,SINKTOTAL,SP,SPINNINAMES,SPINAFTER,SPINBEFORE,STATE,TICKER,TOTAL,TOTDOLAMT,TOTDOLAMTFILED,TOTGROSSMIL,TOTALSHARESFILED,UNDFEE,UNDFEEPERCENT,UPCUSIP,UPSEDOL,UPSICP,SPINCUSIP,YIELD,YEAR,SPINTICKER,YEARSTOPAR,MAIN_TRANCHE,TRANCHE_ID,PACKAGE_ID,REALLOWPERCENT,ALLOT_CUSIP,HIGHTECH,SIC_PRINT,MAX_COUPON_PAYMENT_DATE,MIN_COUPON_PAYMENT_DATE,MAX_CS_CALLDATE,MIN_CS_CALLDATE,MAX_EVENT_HISTORY_DATE,MIN_EVENT_HISTORY_DATE,MAX_LOCK_DATE,MIN_LOCK_DATE,MAX_LOCKUP_DAYS,MIN_LOCKUP_DAYS,MAX_DAYS_LEFT,MIN_DAYS_LEFT,ASSETTYPE_PRINT,MAX_LOC_DATE
1017268021,Claims People Group PLC,2000-10-24,,,1.711,,,,Pvd insurance claims services,0.0,,,,,17955N,STG,,,,0,,,,,,,"14,750,000.0 Ord/Common Shs.",RIIG,,London AIM,CLM,,2000-05-01,,,14907,,,,,,,,Insurance,,17955N,Yes,,,,,,,,2000-05-01,,2000-10-24,AIM,AIM,,,,,,,U.K. Public,,,,United Kingdom,,,0.080,14914,No,0.006,14750000,1.711,1.711,0.116,,,,,,,,,,,,Ord/Common Shs.,0615868,Yes,Yes,14914,14750000,14750000,100,100,No,,"Insurance agents, brokers, and service",6411,,,,,,,,,,,CLM,14750000,1.711,,,,,,17955N,0615868,6411,,0,,,,Y,846319.0,846318.0,,,Primary Business not Hi-Tech|Applications Software(Business|Internet Services & Software,6411/6311/7372/7371/7379,,,,,,,,,,,,,,
1032973002,Maxicare Health Plans Inc,2000-10-06,2000-09-11,No,22,,,,Provide HMO services,,,,,,577904,US,577904204,,,,,,,,,84,"22,000,000.0 Common Shares",MAXI,,OTC,MAXI,29.1,2000-07-14,,,,,4749,,,,1,,Insurance,,577904,No,,1985-11-26,US5779042044,,,,,2000-07-14,1,2000-10-09,NASDQ,NASDQ,,,,1,,,U.S. Public,,,46.8,United States,,,1.000,,,0.438,22000000,22,22,,,,14914,,,,,,,7415,,Common Shares,2745934,Yes,Yes,,22000000,22000000,100,100,No,29088072,Hospital and medical service plans,6324,,,,,,,,,,California,MAXI,22000000,22,29.088,,29088072,,,577904,2745934,6324,,0,2000,,,Y,1043147.0,1042723.0,,,Healthcare Services,6324/8011,,,,,,,,,,,,,,
1043673008,CWMBS 2000-6,2000-10-25,,No,133.274,3.6,,,Mortgage bankers,7.750,,,Clean up Call,,12725X,US,,,,,,,,,,614,7.750% Pass-Thru Certs due '30,,,,CCR,12495.7,1999-02-19,,,,,,Market,,,,,Mortgage Bank,,222372,,,,,,,,,,,,OTC,OTC,,,Aaa,,,,U.S. Public,Mtg.Sec.Iss.,Pass-Through,,United States,,,Market,14913,No,,,133.274,594.495,,,2030-09-25,,,,,,,,,,Pass-Thru Certs,,,,14913,,,,,,,Mortgage bankers and loan correspondents,6162,12725X,,,,,,,,,California,,,594.495,,,,,,222372,2295677,6162,,Mark,2000,,,N,1206353.0,1125330.0,,,Primary Business not Hi-Tech,6162/6141/6411/6221/619B,,,,,2000-09-07,2000-09-07,,,,,,,Residential Mtg,
1044210008,Wells Fargo Mtg Sec 2000-9,2000-10-20,,No,98.627,5.6,,,Mortgage securities finance co,7.750,,,Clean up Call,,94980A,US,,,,,,,,,,743,7.750% Pass-Thru Certs due '30,,,,WFC,15000,1998-10-08,,,,,,Market,,,,,Mortgage Bank,,66946V,,,,,,,,,,,,OTC,OTC,,,NR,,,,U.S. Public,Comm. Bank,Pass-Through,,United States,,,Market,14913,No,,,97.71,220.825,,,2030-10-25,,,,,,,,,,Pass-Thru Certs,,,,14913,,,,,,,Mortgage bankers and loan correspondents,6162,94980A,,,,,,,,,Maryland,,,223.191,,,,,,949746,2649100,6021,,Mark,2000,,,Y,1206422.0,1125163.0,,,Primary Business not Hi-Tech,6162/619B,,,,,2000-10-27,2000-10-27,,,,,,,Residential Mtg,
1045247101,Total Access Communication PCL,2000-10-12,,,137.64,,,,Pvd wireless telecom svcs,6.500,,,Non-callable to,5.1,89152M,BA,,,,,,,,,,,6.500% Fxd/Straight Bd due '05,,,Thailand,TAC,,,,2001-01-12,,,10593,,,,,,Radio/TV/Telecom,,89152M,,,,,,,,,,,,THAI,THAI,,,NR,,,,Thailand Public,,,,Thailand,,,100.000,14895,No,,,137.64,137.64,,,2005-10-12,,,,,,,,,,Fxd/Straight Bd,B1Z4V22,,,14895,,,,,,,Radiotelephone communications,4812,,,None,,,,,,,Foreign,TAC,,137.64,,,,,,89152M,B1Z4V22,4812,,6.50,2000,,,Y,888093.0,888092.0,,,Cellular Communications|Satellite Communications,4812/4899,,,,,,,,,,,,,,
1047561008,Citicorp Mtg Sec 2000-4,2000-10-23,,No,98.13,4.8,,,Mortgage securities finance co,7.500,,,Clean up Call,,17315Z,US,,,,,,,,,,,7.500% Pass-Thru Certs due '30,,,,C,,,,,,,,Market,,,,,Mortgage Bank,,172921,,,,,,,,,,,,OTC,OTC,,,NR,,,,U.S. Public,Mtg.Sec.Iss.,Pass-Through,,United States,,,Market,14909,No,,,96.658,195.622,,,2030-10-25,,,,,,,,,,Pass-Thru Certs,,,,14909,,,,,,,Mortgage bankers and loan correspondents,6162,17315Z,,,,,,,,,New York,,,198.843,,,,,,172967,2297907,6021,,Mark,2000,,,Y,1206621.0,1125326.0,,,Primary Business not Hi-Tech,6162/619A,,,,,2000-11-10,2000-11-10,,,,,,,Residential Mtg,
1048097008,Government National Mortgage,2000-10-23,,No,97,5.8,,,Government sponsored agency,Floats,,,Clean up Call,,383736,US,3837H4V36,,,,,,,,,,Gtd Pass Certs due '22,,,,,,,,,,,,Market,,,,,Fedl Credit Agcy,,383736,,,,,,,,,,,,OTC,OTC,,,NR,,,,U.S. Public,Agency,Pass-Through,,United States,,,Market,14913,No,,,97,278.765,,,2022-12-16,,,,,,,,,,Gtd Pass Certs,,,,14913,,,,,,,Federal and federally-sponsored credit agencies,6111,383736,,,,,,,,,D. of Columbia,,,278.765,,,,,,383736,,6111,,Floa,2000,,,N,1206640.0,1125418.0,,,Primary Business not Hi-Tech,6111,,,,,2000-12-12,2000-12-12,,,,,,,GNMA,
1048608008,Wells Fargo Mtg Sec 2000-11,2000-10-23,,No,25,2.9,,,Mortgage securities finance co,7.000,,,Clean up Call,,94980K,US,,,,,,,,,,746,7.000% Pass-Thru Certs due '30,,,,WFC,15000,1998-10-08,,,,,,Market,,,,,Mortgage Bank,,66946V,,,,,,,,,,,,OTC,OTC,,,NR,,,,U.S. Public,Mtg.Sec.Iss.,Pass-Through,,United States,,,Market,14910,No,,,24.75,197.173,,,2030-10-25,,,,,,,,,,Pass-Thru Certs,,,,14910,,,,,,,Mortgage bankers and loan correspondents,6162,94980K,,,,,,,,,Maryland,,,199.364,,,,,,949746,2649100,6021,,Mark,2000,,,N,1206752.0,1125203.0,,,Primary Business not Hi-Tech,6162/619B,,,,,2000-10-24,2000-10-24,,,,,,,Residential Mtg,
1049341100,PLB Engineering Bhd,2000-10-03,,,9.058,,,,Construction company,,,,,,69306X,RG,,,,,,,,,,,"20,243,000.0 Ord/Common Shs.",PLEN,,Kuala Lump,PLB,,2000-10-03,,,,,4749,,,,,,Construction,,69306X,No,,,MYL7055OO006,,,,,2000-10-03,,2000-10-03,KLSB,KLSB,,,,,,,Malaysia Public,,,42,Malaysia,,,1.700,14913,,0.29,20243000,9.058,9.058,,,,,,,,,,,,,Ord/Common Shs.,6108317,Yes,Yes,14913,20243000,20243000,100,100,No,,"Residential construction, nec",1522,,,,,,,,,,Foreign,PLB,20243000,9.058,,,,,,69306X,6108317,1522,,0,2000,,,Y,132424.0,132423.0,,,Primary Business not Hi-Tech,1522/1541/1542/1611/1622/1623 /1711/1731/1741/1742/1751/1752 /1761/1771/1799/1629/1521/3272 /3292/6552,,,,,,,,,,,,,,
1049368021,WMRC PLC,2000-10-05,,,24.798,,,,Database information provider,0,,,,,92812Q,STG,,,,0,,,,,,,"19,767,442.0 Ord/Common Shs.",WMRC,,,,,2000-09-29,,,,,,,3.224,,,,Pers/Bus/Rep Svc,,92812Q,Yes,,,,,,,,2000-09-29,,2000-10-05,LONDN,LONDN,,,,,,,U.K. Public,,,,United Kingdom,,,0.860,14888,No,,19767442,24.798,29.174,,,,,,,,,,,,,Ord/Common Shs.,0971269,Yes,Yes,14888,19767442,,,,No,,Information retrieval services,7375,,,,,,,,,,,,23255814,29.174,,0.8,,,,92812Q,0971269,7375,,0,,,,Y,889450.0,889449.0,,,Other Software (inq. Games)|Utilities/File Mgmt Software|Applications Software(Business,7375/7372/2721,,,,,2000-09-11,2000-09-11,,,,,,,,
